DateTime,AddedIPs,RemovedIPs
1501603949,18,0
1501604646,70,0
1501605398,15,0
1501606107,6,0
1501606888,7,0
1501607816,17,0
1501608503,18,0
1501609229,6,0
1501609929,20,0
1501610673,6,0
1501611300,17,0
1501612374,39,4
1501613049,19,0
1501613799,9,0
1501614773,14,0
1501615447,15,0
1501616203,20,0
1501616907,29,0
1501617690,7,0
1501618352,9,0
1501619046,7,0
1501619796,11,0
1501620518,12,0
1501621265,11,0
1501621954,7,0
1501622648,11,0
1501623398,17,1
1501624371,19,0
1501625328,13,0
1501626014,6,0
1501626750,6,0
1501627450,2,0
1501628208,9,0
1501628905,8,0
1501629617,9,0
1501630354,12,0
1501631049,19,0
1501631797,13,0
1501632770,2,0
1501633453,7,0
1501634205,2,0
1501634907,15,0
1501635667,17,0
1501636607,6,0
1501637309,5,0
1501638030,11,0
1501638727,2,0
1501639475,3,0
1501640446,7,0
1501641135,3,0
1501641866,5,0
1501643307,2,0
1501644270,5,0
1501644988,1,1
1501645724,3,0
1501646466,4,0
1501647847,1,0
1501648600,7,0
1501650742,0,2
1501664460,0,1
1501670906,0,1
1501680751,0,4
1501681450,0,12
1501685290,0,6
1501688450,0,1
1501690844,0,2
1501691535,0,1
1501692267,0,1
1501694669,0,7
1501696138,0,2
1501697701,0,2
1501698772,0,7
1501699448,0,1
1501700181,0,3
1501700888,0,1
1501701643,0,5
1501702353,0,4
1501703066,0,1
1501703775,0,5
1501705964,0,2
1501706648,0,6
1501707381,0,5
1501708127,0,4
1501709564,0,4
1501711000,0,8
1501712426,0,1
1501713863,0,3
1501715324,0,2
1501716772,0,1
1501717709,0,4
1501719175,0,4
1501720599,0,4
1501721565,0,4
1501722537,0,2
1501723486,0,2
1501725400,0,2
1501726366,0,3
1501727304,0,1
1501728033,0,1
1501729470,0,2
1501730172,0,2
1501731170,0,2
1501732597,0,2
1501733577,0,2
1501734249,0,1
1501735690,0,1
1501736563,11,1
1501737413,2,1
1501738107,15,1
1501738823,1,0
1501739548,5,0
1501740297,0,2
1501741246,3,1
1501742663,23,0
1501743386,0,1
1501744116,1,1
1501745068,7,2
1501746045,8,1
1501746737,5,2
1501747474,17,1
1501748188,14,0
1501748926,18,2
1501749867,13,4
1501750968,15,1
1501751824,9,0
1501752777,15,1
1501753446,8,0
1501754200,8,0
1501754909,3,0
1501755636,7,208
1501756611,11,0
1501757310,3,0
1501758092,16,0
1501758737,7,0
1501759471,20,3
1501760187,12,0
1501760910,8,1
1501761666,8,0
1501762353,2,1
1501763771,1,0
1501764505,20,0
1501765287,16,0
1501765967,2,0
1501766649,5,0
1501767394,5,0
1501768108,5,0
1501768856,21,0
1501769546,1,0
1501770986,16,0
1501771723,2,0
1501773159,1,0
1501774599,1,0
1501776766,1,3
1501777448,4,2
1501778205,7,0
1501778906,7,0
1501779698,10,0
1501780354,1,0
1501781062,13,0
1501781769,9,0
1501783274,1,0
1501784223,1,0
1501784889,17,0
1501785645,4,0
1501786350,8,0
1501787317,8,0
1501788286,21,0
1501789247,16,0
1501789947,12,0
1501790570,14,1
1501791420,8,0
1501792367,14,0
1501793046,1,0
1501793781,9,0
1501794505,9,0
1501795227,6,0
1501795932,4,0
1501796666,2,1
1501797381,2,0
1501798138,10,0
1501799070,5,0
1501800048,4,1
1501801007,8,0
1501801976,4,0
1501802647,7,0
1501803399,1,0
1501805829,8,1
1501806771,15,0
1501807451,14,0
1501808179,3,0
1501808887,8,0
1501809661,1,0
1501811058,2,0
1501811786,4,0
1501812536,10,0
1501813481,8,0
1501814187,5,0
1501814925,9,0
1501815688,28,0
1501816350,1,0
1501817048,5,0
1501817798,1,0
1501818510,14,0
1501819297,7,0
1501820223,2,0
1501821847,11,0
1501822596,3,0
1501823305,4,0
1501824732,3,0
1501825458,20,0
1501826486,9,0
1501827136,2,0
1501828850,10,0
1501829533,3,0
1501832412,13,1
1501833142,2,0
1501833743,3,0
1501834618,5,0
1501835571,6,0
1501836250,6,0
1501836985,2,0
1501840112,4,0
1501840895,2,0
1501841810,12,0
1501842516,4,0
1501843934,1,0
1501844541,1,0
1501845419,8,1
1501846104,0,1
1501846823,1,0
1501848294,7,0
1501852124,9,0
1501854988,6,0
1501857153,2,0
1501857862,12,0
1501858955,1,0
1501863391,4,0
1501865570,11,0
1501866514,6,0
1501867489,21,0
1501868168,8,0
1501868906,5,0
1501869662,9,0
1501870352,7,0
1501871046,5,0
1501871798,12,0
1501872513,6,1
1501873330,10,1
1501873949,3,0
1501874663,8,0
1501875368,4,0
1501876128,3,0
1501876904,2,0
1501877546,12,0
1501878248,4,0
1501879009,11,0
1501879712,11,0
1501880500,4,0
1501881132,15,0
1501881881,7,0
1501882568,8,0
1501883305,6,0
1501884140,10,0
1501885016,6,0
1501885688,3,0
1501887128,3,0
1501887870,4,0
1501888856,10,0
1501889534,7,0
1501890990,7,0
1501891726,3,0
1501892669,0,1
1501893386,2,0
1501894124,3,0
1501894887,4,0
1501895543,8,0
1501896526,1,0
1501897210,5,0
1501897944,2,0
1501899417,3,0
1501900370,4,0
1501901052,9,0
1501901800,15,0
1501902505,11,0
1501907071,0,1
1501944247,0,1
1502027317,0,1
1502036414,0,1
1502040743,0,2
1502063777,0,1
1502091135,0,2
1502108646,0,1
1502193368,0,1
1502222189,0,1
1502242362,0,1
1502252214,1,0
1502262770,0,1
1502268989,0,1
1502274268,1,0
1502280517,0,1
1502283368,0,1
1502309092,0,1
1502330921,32,0
1502332844,18,0
1502333799,29,0
1502334765,10,0
1502335718,2,1
1502337187,3,0
1502339568,2,1
1502340520,8,0
1502341482,3,0
1502342184,2,0
1502342910,23,0
1502343612,11,0
1502344347,1,0
1502345071,8,1
1502345789,3,0
1502346762,20,0
1502347448,12,0
1502348196,4,0
1502349161,8,0
1502349865,7,0
1502350593,5,0
1502351304,13,0
1502352073,12,0
1502352755,14,0
1502353449,11,0
1502354437,20,0
1502355139,5,1
1502355874,15,0
1502356576,7,0
1502357304,1,0
1502358013,8,0
1502358758,7,0
1502359727,16,0
1502360424,2,0
1502361141,1,0
1502361862,7,1
1502362588,4,0
1502363300,10,0
1502364012,1,0
1502364756,5,0
1502365467,6,0
1502366183,9,0
1502367912,2,0
1502369315,1,0
1502378460,0,2
1502400050,0,1
1502404344,0,1
1502409714,0,1
1502415131,0,1
1502426205,0,1
1502429066,0,1
1502449942,0,1
1502450665,0,1
1502452119,0,1
1502458361,0,1
1502464826,0,1
1502466260,0,1
1502469143,0,1
1502471790,0,1
1502494812,0,1
1502501571,0,1
1502504447,0,1
1502511846,0,1
1502520740,15,0
1502522923,0,1
1502524370,5,0
1502525783,17,0
