DateTime,Entries,UniqueIPs
1501979290,1785,1785
1501980048,1784,1784
1501980740,1781,1781
1501981472,1780,1780
1501982923,1777,1777
1501983876,1774,1774
1501984911,1769,1769
1501985809,1767,1767
1501986500,1766,1766
1501987225,1763,1763
1501988671,1762,1762
1501989648,1757,1757
1501990614,1753,1753
1501991313,1752,1752
1501992051,1751,1751
1501992738,1749,1749
1501993470,1745,1745
1501994447,1743,1743
1501995140,1742,1742
1501997324,1740,1740
1501998280,1738,1738
1501999297,1736,1736
1502000206,1735,1735
1502001189,1733,1733
1502003299,1732,1732
1502004026,1730,1730
1502005004,1728,1728
1502005705,1727,1727
1502007148,1726,1726
1502008570,1724,1724
1502009306,1723,1723
1502010115,1722,1722
1502010768,1720,1720
1502011712,1719,1719
1502012412,1715,1715
1502013143,1714,1714
1502014125,1710,1710
1502014822,1709,1709
1502015542,1698,1698
1502016263,1697,1697
1502017322,1694,1694
1502017946,1693,1693
1502018662,1692,1692
1502019381,1691,1691
1502020120,1689,1689
1502020892,1688,1688
1502021567,1687,1687
1502022257,1684,1684
1502023001,1683,1683
1502023692,1682,1682
1502024485,1678,1678
1502025131,1676,1676
1502025862,1675,1675
1502026579,1674,1674
1502027317,1673,1673
1502028089,1672,1672
1502028744,1670,1670
1502029451,1668,1668
1502030450,1666,1666
1502031129,1663,1663
1502032121,1661,1661
1502032814,1660,1660
1502033536,1657,1657
1502034265,1654,1654
1502036414,1652,1652
1502037161,1650,1650
1502038583,1649,1649
1502039290,1648,1648
1502040046,1647,1647
1502040743,1645,1645
1502041447,1640,1640
1502042170,1638,1638
1502043015,1636,1636
1502043872,1633,1633
1502044580,1630,1630
1502045306,1628,1628
1502046084,1627,1627
1502046759,1624,1624
1502047723,1622,1622
1502048424,1618,1618
1502049154,1617,1617
1502050621,1612,1612
1502051289,1611,1611
1502052039,1607,1607
1502052746,1605,1605
1502053481,1603,1603
1502054175,1601,1601
1502054907,1600,1600
1502055624,1597,1597
1502057320,1595,1595
1502058014,1593,1593
1502059450,1591,1591
1502060191,1588,1588
1502060898,1584,1584
1502061643,1583,1583
1502062339,1581,1581
1502063066,1579,1579
1502063777,1576,1576
1502064524,1574,1574
1502065222,1572,1572
1502065943,1571,1571
1502066650,1566,1566
1502068089,1564,1564
1502069566,1563,1563
1502070250,1561,1561
1502070980,1560,1560
1502071691,1559,1559
1502072449,1554,1554
1502073863,1553,1553
1502074926,1551,1551
1502076264,1550,1550
1502078440,1549,1549
1502079155,1547,1547
1502079852,1546,1546
1502080597,1544,1544
1502081301,1542,1542
1502082079,1541,1541
1502082745,1540,1540
1502083714,1538,1538
1502084424,1537,1537
1502085152,1536,1536
1502085869,1535,1535
1502086573,1533,1533
1502087561,1531,1531
1502088268,1530,1530
1502088989,1529,1529
1502089703,1397,1397
1502090456,1396,1396
1502091135,1393,1393
1502092584,1390,1390
1502093314,1389,1389
1502094023,1388,1388
1502094758,1383,1383
1502096913,1381,1381
1502097625,1379,1379
1502098355,1377,1377
1502099327,1376,1376
1502100089,1374,1374
1502101451,1373,1373
1502103177,1372,1372
1502104130,1369,1369
1502104813,1368,1368
1502105559,1366,1366
1502106251,1363,1363
1502106988,1360,1360
1502107961,1358,1358
1502108646,1356,1356
1502110090,1354,1354
1502110915,1353,1353
