DateTime,AddedIPs,RemovedIPs
1502379138,8,15
1502379862,10,12
1502380582,11,7
1502381330,8,5
1502382016,4,9
1502382760,15,13
1502383455,8,11
1502384197,8,15
1502385176,15,12
1502385853,5,18
1502386597,6,6
1502387307,14,10
1502388167,11,13
1502389022,17,15
1502389706,18,18
1502390673,9,10
1502391777,16,38
1502392580,14,0
1502393303,10,12
1502394023,12,10
1502394744,8,28
1502395478,20,0
1502396190,3,23
1502396905,8,0
1502397630,11,17
1502398349,11,12
1502399074,6,0
1502400054,11,27
1502400748,6,0
1502401464,5,20
1502402182,9,0
1502402925,3,21
1502403630,5,0
1502404348,13,14
1502405057,6,5
1502405806,14,17
1502406502,5,0
1502407231,6,24
1502407935,5,0
1502408666,13,10
1502409718,9,21
1502410611,13,11
1502411568,11,6
1502412250,8,15
1502412997,13,13
1502413705,4,23
1502414453,13,0
1502415135,14,17
1502415867,11,14
1502416577,17,18
1502417324,4,0
1502418283,14,14
1502419247,25,14
1502419942,16,14
1502420554,8,15
1502421424,5,14
1502422372,12,3
1502423051,10,13
1502423795,9,9
1502424505,11,11
1502425257,8,18
1502426209,10,12
1502426894,5,0
1502427702,12,7
1502428349,7,7
1502429070,8,6
1502429785,9,7
1502430507,17,10
1502431272,7,11
1502431960,6,7
1502432651,14,9
1502433383,7,10
1502434372,4,8
1502435075,8,5
1502435791,5,10
1502436505,12,11
1502437278,7,7
1502438207,7,9
1502438902,9,6
1502439631,3,10
1502440339,9,14
1502441081,20,4
1502442161,12,4
1502443012,8,14
1502443965,14,9
1502444651,6,7
1502445395,12,11
1502446105,5,0
1502446836,10,19
1502447812,8,12
1502448511,4,8
1502449286,11,8
1502449946,2,5
1502450669,4,2
1502451385,16,158
1502452123,5,7
1502453593,21,34
1502454257,8,0
1502454984,12,6
1502455981,16,10
1502456922,14,10
1502457612,10,9
1502458365,2,11
1502459053,17,5
1502459795,8,9
1502460506,3,16
1502461270,11,11
1502461950,10,7
1502462665,10,5
1502463371,12,12
1502464119,10,15
1502464831,5,0
1502465537,12,6
1502466264,15,26
1502466979,8,0
1502467731,10,12
1502468435,14,10
1502469148,9,0
1502469878,9,16
1502470986,19,12
1502471794,12,11
1502472764,11,10
1502473731,19,16
1502474407,6,0
1502475161,15,10
1502475861,5,4
1502476615,18,22
1502477572,24,8
1502478273,2,12
1502478973,22,0
1502479711,11,18
1502480449,8,8
1502481133,12,0
1502481875,5,17
1502482584,14,15
1502483311,10,22
1502484277,13,12
1502484986,15,5
1502485709,15,9
1502486434,9,0
1502487167,7,23
1502488137,6,15
1502488882,8,7
1502489566,4,4
1502490255,9,15
1502490999,3,6
1502491969,16,9
1502492675,7,5
1502493377,11,8
1502494104,9,6
1502494816,10,12
1502495557,14,5
1502496278,11,15
1502496977,13,0
1502497715,4,9
1502498428,17,10
1502499157,4,7
1502500119,13,17
1502500833,12,0
1502501575,13,28
1502502250,9,0
1502502983,7,15
1502503691,9,0
1502504451,12,11
1502505147,4,17
1502505873,13,5
1502506598,10,5
1502507335,8,4
1502508021,9,14
1502508747,7,0
1502509457,20,15
1502510200,6,29
1502511169,16,8
1502511850,9,9
1502512598,8,0
1502513310,12,18
1502514083,5,0
1502515271,14,20
1502516211,7,15
1502516908,16,10
1502517684,5,13
1502518334,5,0
1502519083,13,16
1502520042,10,17
1502520744,13,0
1502521477,9,12
1502522175,8,0
1502522928,6,14
1502523615,13,0
1502524374,10,12
1502525072,8,3
1502525787,7,9
1502526503,6,7
1502527230,8,8
1502527943,14,10
1502528680,3,10
1502529376,13,0
1502530102,9,7
1502530815,9,7
1502531566,4,7
1502532274,13,3
1502532975,10,8
1502533969,8,9
1502534937,17,17
1502535895,19,7
1502536573,7,7
1502537323,11,6
1502538032,8,4
1502539006,17,14
1502539964,14,0
1502540756,17,18
1502541645,13,13
1502542364,7,0
1502543086,5,13
1502543786,5,9
1502544505,9,9
1502545228,16,15
1502546208,13,18
1502547171,13,12
1502548125,10,8
1502548834,11,7
1502549559,12,9
1502550274,8,5
1502550982,11,8
1502551708,16,6
1502552430,4,10
1502553402,20,23
1502554093,5,0
1502554857,10,13
1502555541,10,0
1502556266,8,8
1502556985,13,20
1502557727,10,10
1502558437,6,11
1502559159,13,0
1502559854,11,16
1502560600,17,10
1502561671,12,16
1502562516,13,11
1502563231,15,12
1502563945,6,0
1502564581,8,8
1502565416,10,22
1502566368,16,18
1502567059,7,6
1502567796,15,6
1502568770,12,8
1502569455,16,11
1502570188,4,12
1502571170,9,17
1502572125,17,27
1502573091,16,12
1502574046,8,17
1502575004,12,12
1502575974,9,23
1502576697,4,10
1502577420,9,12
1502578368,13,0
1502579340,9,24
1502580273,18,15
1502581246,11,28
1502582199,16,3
1502583172,8,12
1502584124,7,16
1502585076,9,10
1502586072,7,11
1502586762,3,7
1502587461,18,11
1502588187,13,12
1502588939,13,9
1502589661,8,18
1502590362,11,11
1502591053,11,6
1502591807,7,10
1502592773,9,10
1502593716,11,6
1502594440,6,21
1502595156,15,8
1502595863,14,12
1502596586,14,0
1502597319,9,16
1502598037,13,8
1502598761,10,3
1502599453,10,17
1502600183,7,9
1502600898,12,3
1502601654,5,0
1502602611,14,5
1502603298,9,11
1502604106,5,10
1502604749,7,9
1502605730,18,7
1502606420,12,0
1502607144,3,8
1502608117,18,17
1502608835,9,11
1502609565,11,13
1502610251,11,8
1502610983,10,5
1502611964,17,2
1502612654,9,11
1502613391,11,9
1502614097,7,5
1502614875,12,3
1502615809,8,11
1502616492,19,0
1502617246,13,17
1502617945,14,0
1502618679,7,14
1502619651,15,7
1502620348,19,0
1502621584,21,18
1502622509,13,9
1502623256,11,13
1502624213,7,10
1502624910,6,10
1502625680,8,10
1502626336,5,0
1502627104,7,10
1502627773,18,8
1502628511,7,7
1502629301,9,10
1502630000,13,10
1502630926,15,22
1502631886,12,10
1502632883,14,10
1502633565,8,0
1502634252,12,8
1502634973,8,4
1502635711,12,11
1502636483,9,12
1502637164,12,12
1502637905,21,15
1502638844,16,14
1502639809,12,13
1502640767,13,9
1502641743,20,9
1502642672,19,17
1502643717,22,9
1502644619,12,6
1502645582,20,24
1502646518,13,9
1502647500,21,8
1502648455,13,5
1502649154,13,11
1502649856,11,12
1502650887,21,9
1502651577,12,11
1502652252,14,10
1502653005,21,9
1502653970,13,13
1502654924,13,17
1502655880,12,22
1502657095,20,12
1502657789,6,15
1502658765,6,10
1502659457,7,0
1502660199,14,23
1502660897,6,16
1502661737,13,12
1502662610,8,9
1502663330,12,22
1502664016,7,14
1502664761,4,0
1502665715,11,9
1502666436,6,11
1502667157,7,9
1502667876,4,17
1502668575,10,0
1502669295,6,12
1502670051,10,9
1502670752,6,7
1502671466,7,0
1502672189,8,11
1502672903,3,3
1502673661,10,9
1502674349,14,16
1502675065,6,13
1502675773,5,7
1502676516,12,4
1502677235,10,16
1502678212,12,17
1502678897,7,0
1502679694,7,14
1502680361,8,14
1502681051,8,7
1502682044,12,8
1502682751,14,16
1502683488,10,11
1502684460,20,21
1502685139,8,0
1502685866,9,14
1502686589,12,9
1502687308,5,3
1502688031,13,0
1502688741,6,13
1502689713,11,16
1502690470,12,0
1502691148,4,3
1502691851,2,7
1502692600,4,7
1502693574,12,13
1502694273,18,0
1502694974,7,7
1502695706,11,5
1502696429,13,10
1502697163,7,9
1502697879,18,6
1502698866,17,6
