DateTime,Entries,UniqueIPs
1502352077,8981,9082
1502352759,8982,9083
1502353454,8981,9082
1502354441,8983,9084
1502355144,8984,9085
1502355879,8976,9077
1502356580,8975,9076
1502357308,8982,9083
1502358017,8985,9086
1502358762,8983,9084
1502359731,8988,9089
1502360428,8984,9085
1502361145,8987,9088
1502361866,8988,9089
1502362592,8983,9084
1502363304,8983,9084
1502364016,8978,9079
1502364760,8975,9076
1502365471,8981,9082
1502366186,8978,9079
1502366905,8987,9088
1502367919,8980,9081
1502368587,8975,9076
1502369318,8970,9071
1502370072,8968,9069
1502370738,8961,9062
1502371469,8975,9076
1502372185,8979,9080
1502372925,8972,9073
1502373718,8973,9074
1502374650,8960,9061
1502375301,8969,9070
1502376029,8966,9067
1502376745,8957,9058
1502377493,8952,9053
1502378464,8955,9056
1502379138,8948,9049
1502379862,8946,9047
1502380582,8950,9051
1502381330,8953,9054
1502382016,8948,9049
1502382760,8950,9051
1502383455,8947,9048
1502384197,8940,9041
1502385176,8943,9044
1502385853,8930,9031
1502386597,8930,9031
1502387307,8934,9035
1502388167,8932,9033
1502389022,8934,9035
1502389706,8934,9035
1502390673,8933,9034
1502391777,8911,9012
1502392580,8925,9026
1502393303,8923,9024
1502394023,8925,9026
1502394744,8905,9006
1502395478,8925,9026
1502396190,8905,9006
1502396905,8913,9014
1502397630,8907,9008
1502398349,8906,9007
1502399074,8912,9013
1502400054,8896,8997
1502400748,8902,9003
1502401464,8887,8988
1502402182,8896,8997
1502402925,8878,8979
1502403630,8883,8984
1502404348,8882,8983
1502405057,8883,8984
1502405806,8880,8981
1502406502,8885,8986
1502407231,8867,8968
1502407935,8872,8973
1502408666,8875,8976
1502409718,8863,8964
1502410611,8865,8966
1502411568,8870,8971
1502412250,8863,8964
1502412997,8863,8964
1502413705,8844,8945
1502414453,8857,8958
1502415135,8854,8955
1502415867,8851,8952
1502416577,8850,8951
1502417324,8854,8955
1502418283,8854,8955
1502419247,8865,8966
1502419942,8867,8968
1502420554,8860,8961
1502421424,8851,8952
1502422372,8860,8961
1502423051,8857,8958
1502423795,8857,8958
1502424505,8857,8958
1502425257,8847,8948
1502426209,8845,8946
1502426894,8850,8951
1502427702,8855,8956
1502428349,8855,8956
1502429070,8857,8958
1502429785,8859,8960
1502430507,8866,8967
1502431272,8862,8963
1502431960,8861,8962
1502432651,8866,8967
1502433383,8863,8964
1502434372,8859,8960
1502435075,8862,8963
1502435791,8857,8958
1502436505,8858,8959
1502437278,8858,8959
1502438207,8856,8957
1502438902,8859,8960
1502439631,8852,8953
1502440339,8847,8948
1502441081,8862,8964
1502442161,8870,8972
1502443012,8864,8966
1502443965,8869,8971
1502444651,8868,8970
1502445395,8868,8971
1502446105,8873,8976
1502446836,8864,8967
1502447812,8860,8963
1502448511,8856,8959
1502449286,8859,8962
1502449946,8856,8959
1502450669,8858,8961
1502451385,8718,8819
1502452123,8716,8817
1502453593,8703,8804
1502454257,8711,8812
1502454984,8717,8818
1502455981,8723,8824
1502456922,8727,8828
1502457612,8728,8829
1502458365,8719,8820
1502459053,8731,8832
1502459795,8730,8831
1502460506,8717,8818
1502461270,8717,8818
1502461950,8720,8821
1502462665,8725,8826
1502463371,8725,8826
1502464119,8720,8821
1502464831,8725,8826
1502465537,8731,8832
1502466264,8721,8821
1502466979,8729,8829
1502467731,8727,8827
1502468435,8731,8831
1502469148,8740,8840
1502469878,8732,8833
1502470986,8739,8840
1502471794,8740,8841
1502472764,8741,8842
1502473731,8744,8845
1502474407,8750,8851
1502475161,8755,8856
1502475861,8756,8857
1502476615,8752,8853
1502477572,8767,8869
1502478273,8757,8859
1502478973,8779,8881
1502479711,8772,8874
1502480449,8772,8874
1502481133,8784,8886
1502481875,8772,8874
1502482584,8771,8873
1502483311,8759,8861
1502484277,8760,8862
1502484986,8770,8872
1502485709,8776,8878
1502486434,8785,8887
1502487167,8769,8871
1502488137,8759,8862
1502488882,8760,8863
1502489566,8760,8863
1502490255,8754,8857
1502490999,8751,8854
1502491969,8758,8861
1502492675,8760,8863
1502493377,8763,8866
1502494104,8766,8869
1502494816,8764,8867
1502495557,8773,8876
1502496278,8769,8872
1502496977,8782,8885
1502497715,8777,8880
1502498428,8784,8887
1502499157,8781,8884
1502500119,8777,8880
1502500833,8789,8892
1502501575,8774,8877
1502502250,8783,8886
1502502983,8775,8878
1502503691,8784,8887
1502504451,8785,8888
1502505147,8772,8875
1502505873,8780,8883
1502506598,8785,8888
1502507335,8789,8892
1502508021,8784,8887
1502508747,8791,8894
1502509457,8796,8899
1502510200,8773,8876
1502511169,8781,8884
1502511850,8781,8884
1502512598,8789,8892
1502513310,8783,8886
1502514083,8788,8891
1502515271,8782,8885
1502516211,8774,8877
1502516908,8780,8883
1502517684,8772,8875
1502518334,8777,8880
1502519083,8774,8877
1502520042,8767,8870
1502520744,8780,8883
1502521477,8777,8880
1502522175,8785,8888
1502522928,8777,8880
1502523615,8790,8893
1502524374,8788,8891
1502525072,8793,8896
1502525787,8791,8894
1502526503,8790,8893
1502527230,8790,8893
1502527943,8794,8897
1502528680,8787,8890
1502529376,8800,8903
1502530102,8802,8905
1502530815,8804,8907
1502531566,8801,8904
1502532274,8811,8914
1502532975,8814,8916
1502533969,8813,8915
1502534937,8813,8915
1502535895,8825,8927
1502536573,8825,8927
1502537323,8830,8932
1502538032,8834,8936
1502539006,8837,8939
1502539964,8851,8953
1502540756,8850,8952
1502541645,8850,8952
1502542364,8857,8959
1502543086,8849,8951
1502543786,8845,8947
1502544505,8845,8947
1502545228,8846,8948
1502546208,8841,8943
1502547171,8842,8944
1502548125,8844,8946
1502548834,8848,8950
1502549559,8851,8953
1502550274,8854,8956
1502550982,8857,8959
1502551708,8868,8969
1502552430,8862,8963
1502553402,8859,8960
1502554093,8864,8965
1502554857,8861,8962
1502555541,8871,8972
1502556266,8871,8972
1502556985,8864,8965
1502557727,8864,8965
1502558437,8859,8960
1502559159,8872,8973
1502559854,8867,8968
1502560600,8874,8975
1502561671,8870,8971
1502562516,8872,8973
1502563231,8875,8976
1502563945,8881,8982
1502564581,8881,8982
1502565416,8869,8970
1502566368,8867,8968
1502567059,8868,8969
1502567796,8877,8978
1502568770,8881,8982
1502569455,8888,8987
1502570188,8880,8979
1502571170,8872,8971
1502572125,8862,8961
1502573091,8866,8965
1502574046,8857,8956
1502575004,8857,8956
1502575974,8843,8942
1502576697,8837,8936
1502577420,8834,8933
1502578368,8847,8946
1502579340,8832,8931
1502580273,8835,8934
1502581246,8818,8917
1502582199,8831,8930
1502583172,8827,8926
1502584124,8818,8917
1502585076,8817,8916
1502586072,8813,8912
1502586762,8809,8908
1502587461,8816,8915
1502588187,8817,8916
1502588939,8821,8920
1502589661,8811,8910
1502590362,8811,8910
1502591053,8816,8915
1502591807,8813,8912
1502592773,8812,8911
1502593716,8817,8916
1502594440,8802,8901
1502595156,8809,8908
1502595863,8811,8910
1502596586,8825,8924
1502597319,8818,8917
1502598037,8823,8922
1502598761,8830,8929
1502599453,8823,8922
1502600183,8821,8920
1502600898,8830,8929
1502601654,8835,8934
1502602611,8844,8943
1502603298,8842,8941
1502604106,8837,8936
1502604749,8835,8934
1502605730,8846,8945
1502606420,8858,8957
1502607144,8853,8952
1502608117,8854,8953
1502608835,8852,8951
1502609565,8850,8949
1502610251,8853,8952
1502610983,8858,8957
1502611964,8873,8972
1502612654,8871,8970
1502613391,8873,8972
1502614097,8875,8974
1502614875,8884,8983
1502615809,8881,8980
1502616492,8900,8999
1502617246,8896,8995
1502617945,8910,9009
1502618679,8903,9002
1502619651,8911,9010
1502620348,8929,9029
1502621584,8932,9032
1502622509,8936,9036
1502623256,8934,9034
1502624213,8931,9031
1502624910,8927,9027
1502625680,8925,9025
1502626336,8930,9030
1502627104,8927,9027
1502627773,8937,9037
1502628511,8937,9037
1502629301,8936,9036
1502630000,8939,9039
1502630926,8932,9032
1502631886,8934,9034
1502632883,8938,9038
1502633565,8946,9046
1502634252,8950,9050
1502634973,8954,9054
1502635711,8955,9055
1502636483,8952,9052
1502637164,8952,9052
1502637905,8958,9058
1502638844,8960,9060
1502639809,8959,9059
1502640767,8963,9063
1502641743,8974,9074
1502642672,8976,9076
1502643717,8989,9089
1502644619,8995,9095
