DateTime,AddedIPs,RemovedIPs
1502376029,41,36
1502376745,45,48
1502377493,54,50
1502378464,61,57
1502379138,52,43
1502379862,41,44
1502380582,50,53
1502381330,32,44
1502382016,43,36
1502382760,60,46
1502383455,48,44
1502384197,46,31
1502385176,70,42
1502385853,41,61
1502386597,48,48
1502387307,60,43
1502388167,66,55
1502389022,50,53
1502389706,57,37
1502390673,57,57
1502391777,60,51
1502392580,51,58
1502393303,53,33
1502394023,44,52
1502394744,50,41
1502395478,56,93
1502396190,67,56
1502396905,38,66
1502397630,72,53
1502398349,42,73
1502399074,76,37
1502400054,55,50
1502400748,40,64
1502401464,37,30
1502402182,39,54
1502402925,34,47
1502403630,25,32
1502404348,42,78
1502405057,57,48
1502405806,61,71
1502406502,54,39
1502407231,44,40
1502407935,38,29
1502408666,41,68
1502409718,52,42
1502410611,70,44
1502411568,41,41
1502412250,24,46
1502412997,47,58
1502413705,44,34
1502414453,51,45
1502415135,41,51
1502415867,39,41
1502416577,48,37
1502417324,20,34
1502418283,47,38
1502419247,63,59
1502419942,54,37
1502420554,37,50
1502421424,54,34
1502422372,52,41
1502423051,31,40
1502423795,35,34
1502424505,52,99
1502425257,40,47
1502426209,56,35
1502426894,38,30
1502427702,50,47
1502428349,41,43
1502429070,48,47
1502429785,32,39
1502430507,56,37
1502431272,32,33
1502431960,34,48
1502432651,54,38
1502433383,34,25
1502434372,37,45
1502435075,39,41
1502435791,24,22
1502436505,48,39
1502437278,34,40
1502438207,46,47
1502438902,44,34
1502439631,30,31
1502440339,39,36
1502441081,53,33
1502442161,48,48
1502443012,45,41
1502443965,47,40
1502444651,39,35
1502445395,49,42
1502446105,21,25
1502446836,48,42
1502447812,46,39
1502448511,36,28
1502449286,48,55
1502449946,28,45
1502450669,36,60
1502451385,75,46
1502452123,34,43
1502453593,72,59
1502454257,37,35
1502454984,53,66
1502455981,74,55
1502456922,63,52
1502457612,35,52
1502458365,51,43
1502459053,64,62
1502459795,45,36
1502460506,32,87
1502461270,89,51
1502461950,41,42
1502462665,41,42
1502463371,66,42
1502464119,44,45
1502464831,46,37
1502465537,48,36
1502466264,58,50
1502466979,43,53
1502467731,57,50
1502468435,49,41
1502469148,47,26
1502469878,35,61
1502470986,83,91
1502471794,60,63
1502472764,67,63
1502473731,78,70
1502474407,62,35
1502475161,39,52
1502475861,32,43
1502476615,78,56
1502477572,74,53
1502478273,33,39
1502478973,54,73
1502479711,64,35
1502480449,55,78
1502481133,51,44
1502481875,52,36
1502482584,53,60
1502483311,51,58
1502484277,77,47
1502484986,48,85
1502485709,70,59
1502486434,49,48
1502487167,39,39
1502488137,45,58
1502488882,43,55
1502489566,45,43
1502490255,43,75
1502490999,54,44
1502491969,57,59
1502492675,38,44
1502493377,52,42
1502494104,36,72
1502494816,58,62
1502495557,49,56
1502496278,67,40
1502496977,51,71
1502497715,38,42
1502498428,63,55
1502499157,30,39
1502500119,46,136
1502500833,116,45
1502501575,54,42
1502502250,42,67
1502502983,48,29
1502503691,46,54
1502504451,53,46
1502505147,29,43
1502505873,42,46
1502506598,45,43
1502507335,34,34
1502508021,57,40
1502508747,37,23
1502509457,44,51
1502510200,30,38
1502511169,45,46
1502511850,46,35
1502512598,31,19
1502513310,47,45
1502514083,33,34
1502515271,40,45
1502516211,40,39
1502516908,63,40
1502517684,29,22
1502518334,33,35
1502519083,49,34
1502520042,42,37
1502520744,59,26
1502521477,21,44
1502522175,31,33
1502522928,32,42
1502523615,39,41
1502524374,45,50
1502525072,34,37
1502525787,45,26
