DateTime,Entries,UniqueIPs
1502355879,7254,7254
1502356580,7271,7271
1502357308,7307,7307
1502358017,7305,7305
1502358762,7314,7314
1502359731,7335,7335
1502360428,7318,7318
1502361145,7314,7314
1502361866,7320,7320
1502362592,7318,7318
1502363304,7316,7316
1502364016,7314,7314
1502364760,7289,7289
1502365471,6960,6960
1502366186,6961,6961
1502366905,7019,7019
1502367919,7010,7010
1502368587,7025,7025
1502369318,7044,7044
1502370072,7014,7014
1502370738,7034,7034
1502371469,7074,7074
1502372185,7069,7069
1502372925,7095,7095
1502373718,7092,7092
1502374650,7107,7107
1502375301,7130,7130
1502376029,7135,7135
1502376745,7132,7132
1502377493,7136,7136
1502378464,7140,7140
1502379138,7149,7149
1502379862,7146,7146
1502380582,7143,7143
1502381330,7131,7131
1502382016,7138,7138
1502382760,7152,7152
1502383455,7156,7156
1502384197,7171,7171
1502385176,7199,7199
1502385853,7179,7179
1502386597,7179,7179
1502387307,7196,7196
1502388167,7207,7207
1502389022,7204,7204
1502389706,7224,7224
1502390673,7224,7224
1502391777,7233,7233
1502392580,7226,7226
1502393303,7246,7246
1502394023,7238,7238
1502394744,7247,7247
1502395478,7210,7210
1502396190,7221,7221
1502396905,7193,7193
1502397630,7212,7212
1502398349,7181,7181
1502399074,7220,7220
1502400054,7225,7225
1502400748,7201,7201
1502401464,7208,7208
1502402182,7193,7193
1502402925,7180,7180
1502403630,7173,7173
1502404348,7137,7137
1502405057,7146,7146
1502405806,7136,7136
1502406502,7151,7151
1502407231,7155,7155
1502407935,7164,7164
1502408666,7137,7137
1502409718,7147,7147
1502410611,7173,7173
1502411568,7173,7173
1502412250,7151,7151
1502412997,7140,7140
1502413705,7150,7150
1502414453,7156,7156
1502415135,7146,7146
1502415867,7144,7144
1502416577,7155,7155
1502417324,7141,7141
1502418283,7150,7150
1502419247,7154,7154
1502419942,7171,7171
1502420554,7158,7158
1502421424,7178,7178
1502422372,7189,7189
1502423051,7180,7180
1502423795,7181,7181
1502424505,7134,7134
1502425257,7127,7127
1502426209,7148,7148
1502426894,7156,7156
1502427702,7159,7159
1502428349,7157,7157
1502429070,7158,7158
1502429785,7151,7151
1502430507,7170,7170
1502431272,7169,7169
1502431960,7155,7155
1502432651,7171,7171
1502433383,7180,7180
1502434372,7172,7172
1502435075,7170,7170
1502435791,7172,7172
1502436505,7181,7181
1502437278,7175,7175
1502438207,7174,7174
1502438902,7184,7184
1502439631,7183,7183
1502440339,7186,7186
1502441081,7206,7206
1502442161,7206,7206
1502443012,7210,7210
1502443965,7217,7217
1502444651,7221,7221
1502445395,7228,7228
1502446105,7224,7224
1502446836,7230,7230
1502447812,7237,7237
1502448511,7245,7245
1502449286,7238,7238
1502449946,7221,7221
1502450669,7197,7197
1502451385,7226,7226
1502452123,7217,7217
1502453593,7230,7230
1502454257,7232,7232
1502454984,7219,7219
1502455981,7238,7238
1502456922,7249,7249
1502457612,7232,7232
1502458365,7240,7240
1502459053,7242,7242
1502459795,7251,7251
1502460506,7196,7196
1502461270,7234,7234
1502461950,7233,7233
1502462665,7232,7232
1502463371,7256,7256
1502464119,7255,7255
1502464831,7264,7264
1502465537,7276,7276
1502466264,7284,7284
1502466979,7274,7274
1502467731,7281,7281
1502468435,7289,7289
1502469148,7310,7310
1502469878,7284,7284
1502470986,7276,7276
1502471794,7273,7273
1502472764,7277,7277
1502473731,7285,7285
1502474407,7312,7312
1502475161,7299,7299
1502475861,7288,7288
1502476615,7310,7310
1502477572,7331,7331
1502478273,7325,7325
1502478973,7306,7306
1502479711,7335,7335
1502480449,7312,7312
1502481133,7319,7319
1502481875,7335,7335
1502482584,7328,7328
1502483311,7321,7321
1502484277,7351,7351
1502484986,7314,7314
1502485709,7325,7325
1502486434,7326,7326
1502487167,7326,7326
1502488137,7313,7313
1502488882,7301,7301
1502489566,7303,7303
1502490255,7271,7271
1502490999,7281,7281
1502491969,7279,7279
1502492675,7273,7273
1502493377,7283,7283
1502494104,7247,7247
1502494816,7243,7243
1502495557,7236,7236
1502496278,7263,7263
1502496977,7243,7243
1502497715,7239,7239
1502498428,7247,7247
1502499157,7238,7238
1502500119,7148,7148
1502500833,7219,7219
1502501575,7231,7231
1502502250,7206,7206
1502502983,7225,7225
1502503691,7217,7217
1502504451,7224,7224
1502505147,7210,7210
1502505873,7206,7206
1502506598,7208,7208
1502507335,7208,7208
1502508021,7225,7225
1502508747,7239,7239
1502509457,7232,7232
1502510200,7224,7224
1502511169,7223,7223
1502511850,7234,7234
1502512598,7246,7246
1502513310,7248,7248
1502514083,7247,7247
1502515271,7242,7242
1502516211,7243,7243
1502516908,7266,7266
1502517684,7273,7273
1502518334,7271,7271
1502519083,7286,7286
1502520042,7291,7291
1502520744,7324,7324
1502521477,7301,7301
1502522175,7299,7299
1502522928,7289,7289
1502523615,7287,7287
1502524374,7282,7282
1502525072,7279,7279
1502525787,7298,7298
1502526503,7287,7287
1502527230,7276,7276
1502527943,7278,7278
1502528680,7301,7301
1502529376,7270,7270
1502530102,7313,7313
1502530815,7327,7327
1502531566,7316,7316
1502532274,7318,7318
1502532975,7326,7326
1502533969,7318,7318
1502534937,7336,7336
1502535895,7331,7331
1502536573,7334,7334
1502537323,7333,7333
1502538032,7326,7326
1502539006,7334,7334
1502539964,7338,7338
1502540756,7345,7345
1502541645,7361,7361
1502542364,7349,7349
1502543086,7360,7360
1502543786,7359,7359
1502544505,7369,7369
1502545228,7387,7387
1502546208,7380,7380
1502547171,7392,7392
1502548125,7394,7394
1502548834,7394,7394
1502549559,7422,7422
1502550274,7377,7377
1502550982,7401,7401
1502551708,7399,7399
1502552430,7335,7335
1502553402,7419,7419
1502554093,7413,7413
1502554857,7420,7420
1502555541,7429,7429
1502556266,7442,7442
1502556985,7433,7433
1502557727,7436,7436
1502558437,7428,7428
1502559159,7404,7404
1502559854,7423,7423
1502560600,7453,7453
1502561671,7463,7463
1502562516,7461,7461
1502563231,7469,7469
1502563945,7459,7459
1502564581,7457,7457
1502565416,7444,7444
1502566368,7462,7462
1502567059,7458,7458
1502567796,7468,7468
1502568770,7472,7472
1502569455,7467,7467
1502570188,7462,7462
1502571170,7428,7428
1502572125,7425,7425
1502573091,7439,7439
1502574046,7361,7361
1502575004,7408,7408
1502575974,7390,7390
1502576697,7383,7383
1502577420,7356,7356
1502578368,7353,7353
1502579340,7359,7359
1502580273,7353,7353
1502581246,7354,7354
1502582199,7355,7355
1502583172,7324,7324
1502584124,7338,7338
1502585076,7337,7337
1502586072,7315,7315
1502586762,7317,7317
1502587461,7326,7326
1502588187,7329,7329
1502588939,7319,7319
1502589661,7273,7273
1502590362,7318,7318
1502591053,7304,7304
1502591807,7313,7313
1502592773,7316,7316
1502593716,7275,7275
1502594440,7270,7270
1502595156,7289,7289
1502595863,7307,7307
1502596586,7302,7302
1502597319,7315,7315
1502598037,7300,7300
1502598761,7290,7290
1502599453,7323,7323
1502600183,7327,7327
1502600898,7326,7326
1502601654,7330,7330
1502602611,7331,7331
1502603298,7338,7338
1502604106,7339,7339
1502604749,7318,7318
1502605730,7335,7335
1502606420,7338,7338
1502607144,7332,7332
1502608117,7358,7358
1502608835,7355,7355
1502609565,7368,7368
1502610251,7364,7364
1502610983,7347,7347
1502611964,7380,7380
1502612654,7327,7327
1502613391,7363,7363
1502614097,7383,7383
1502614875,7393,7393
1502615809,7391,7391
1502616492,7404,7404
1502617246,7412,7412
1502617945,7419,7419
1502618679,7424,7424
1502619651,7425,7425
1502620348,7424,7424
1502621584,7432,7432
1502622509,7434,7434
1502623256,7435,7435
1502624213,7454,7454
1502624910,7446,7446
1502625680,7444,7444
1502626336,7428,7428
1502627104,7443,7443
1502627773,7442,7442
1502628511,7461,7461
1502629301,7469,7469
1502630000,7458,7458
1502630926,7476,7476
1502631886,7465,7465
1502632883,7453,7453
1502633565,7475,7475
1502634252,7483,7483
1502634973,7484,7484
1502635711,7496,7496
1502636483,7476,7476
1502637164,7479,7479
1502637905,7508,7508
1502638844,7526,7526
1502639809,7503,7503
1502640767,7518,7518
1502641743,7529,7529
1502642672,7552,7552
1502643717,7541,7541
1502644619,7551,7551
1502645582,7560,7560
1502646518,7554,7554
1502647500,7557,7557
1502648455,7535,7535
1502649154,7543,7543
1502649856,7551,7551
1502650887,7553,7553
1502651577,7546,7546
1502652252,7546,7546
1502653005,7566,7566
1502653970,7555,7555
1502654924,7552,7552
1502655880,7540,7540
1502657095,7536,7536
1502657789,7524,7524
1502658765,7504,7504
1502659457,7481,7481
1502660199,7496,7496
1502660897,7482,7482
1502661737,7460,7460
1502662610,7456,7456
1502663330,7455,7455
1502664016,7450,7450
1502664761,7447,7447
1502665715,7440,7440
1502666436,7438,7438
1502667157,7444,7444
1502667876,7424,7424
1502668575,7438,7438
1502669295,7435,7435
1502670051,7430,7430
1502670752,7399,7399
1502671466,7403,7403
1502672189,7389,7389
1502672903,7387,7387
1502673661,7384,7384
1502674349,7384,7384
1502675065,7371,7371
1502675773,7364,7364
1502676516,7373,7373
1502677235,7373,7373
1502678212,7367,7367
1502678897,7363,7363
1502679694,7367,7367
1502680361,7370,7370
1502681051,7377,7377
1502682044,7378,7378
1502682751,7368,7368
1502683488,7350,7350
1502684460,7381,7381
1502685139,7379,7379
1502685866,7385,7385
1502686589,7376,7376
1502687308,7362,7362
1502688031,7344,7344
1502688741,7354,7354
1502689713,7377,7377
1502690470,7386,7386
1502691148,7387,7387
1502691851,7371,7371
1502692600,7383,7383
1502693574,7387,7387
1502694273,7400,7400
1502694974,7393,7393
1502695706,7393,7393
1502696429,7410,7410
1502697163,7391,7391
1502697879,7399,7399
1502698866,7411,7411
1502699552,7421,7421
1502700266,7418,7418
1502701350,7412,7412
1502702186,7417,7417
1502702904,7436,7436
1502703635,7420,7420
1502704330,7434,7434
1502704943,7441,7441
1502705815,7444,7444
1502706493,7449,7449
1502707242,7462,7462
1502708202,7458,7458
1502709173,7458,7458
1502709854,7469,7469
1502710602,7469,7469
1502711310,7460,7460
1502712127,7469,7469
1502713014,7472,7472
1502713706,7467,7467
1502714441,7479,7479
1502715144,7467,7467
1502715875,7485,7485
1502716854,7452,7452
1502717553,7474,7474
1502718265,7470,7470
1502718972,7455,7455
1502719693,7458,7458
1502720457,7478,7478
1502721161,7498,7498
1502721865,7511,7511
1502722572,7493,7493
1502723331,7500,7500
1502724018,7496,7496
1502724751,7500,7500
1502725451,7509,7509
1502726189,7495,7495
1502726894,7494,7494
1502727647,7513,7513
1502728336,7516,7516
1502729068,7498,7498
1502729788,7494,7494
1502730506,7499,7499
1502731233,7512,7512
1502732701,7532,7532
1502733432,7531,7531
1502734469,7530,7530
1502735334,7528,7528
1502736274,7526,7526
1502737349,7533,7533
1502738212,7537,7537
1502739173,7518,7518
1502740121,7507,7507
1502741590,7517,7517
1502742251,7514,7514
1502743003,7511,7511
1502743969,7522,7522
1502744931,7490,7490
1502745660,7494,7494
1502746373,7502,7502
1502747071,7488,7488
