DateTime,Entries,UniqueIPs
1502178159,2593,2593
1502178990,2601,2601
1502179834,2588,2588
1502180905,2599,2599
1502181935,2569,2569
1502183016,2556,2556
1502183951,2570,2570
1502184510,2573,2573
1502185556,2547,2547
1502187263,2539,2539
1502188249,2506,2506
1502189958,2498,2498
1502190937,2516,2516
1502191835,2531,2531
1502192854,2570,2570
1502194461,2530,2530
1502195429,2475,2475
1502196253,2346,2346
1502198437,2226,2226
1502199755,2203,2203
1502202036,2226,2226
1502202503,2227,2227
1502203350,2231,2231
1502205016,2245,2245
1502205894,2248,2248
1502206831,2240,2240
1502207629,2246,2246
1502209602,2262,2262
1502211870,2284,2284
1502212832,2298,2298
1502213720,2299,2299
1502215640,2315,2315
1502216068,2322,2322
1502217028,2318,2318
1502217753,2329,2329
1502219055,2330,2330
1502220039,2332,2332
1502221232,2330,2330
1502222171,2335,2335
1502223034,2321,2321
1502224236,2321,2321
1502225089,2329,2329
1502226631,2325,2325
1502228557,2331,2331
1502230232,2335,2335
1502231139,2333,2333
1502232002,2314,2314
1502233429,2326,2326
1502234066,2374,2374
1502235030,2363,2363
1502235939,2363,2363
1502236583,2369,2369
1502237437,2362,2362
1502239347,2363,2363
1502241035,2365,2365
1502242114,2364,2364
1502243140,2361,2361
1502244571,2375,2375
1502245712,2383,2383
1502246755,2355,2355
1502249303,2362,2362
1502250333,2335,2335
1502252063,2322,2322
1502253754,2290,2290
1502255440,2276,2276
1502257475,2261,2261
1502258189,2267,2267
1502259038,2247,2247
1502260105,2256,2256
1502260960,2223,2223
1502261876,2229,2229
1502262866,2212,2212
1502263830,2205,2205
1502265123,2207,2207
1502266237,2202,2202
1502267312,2216,2216
1502268155,2190,2190
1502269460,2174,2174
1502270434,2186,2186
1502270907,2196,2196
1502271852,2180,2180
1502273436,2183,2183
1502275365,2163,2163
1502277260,2144,2144
1502278230,2123,2123
1502279140,2132,2132
1502280281,2110,2110
1502280864,2117,2117
1502283905,2112,2112
1502284723,2117,2117
1502285610,2112,2112
1502286980,2115,2115
1502287838,2127,2127
1502289321,2136,2136
1502290535,2145,2145
1502291434,2136,2136
1502293359,2117,2117
1502295036,2130,2130
1502296959,2131,2131
1502297791,2131,2131
1502298638,2115,2115
1502299832,2111,2111
1502300766,2118,2118
1502302470,2118,2118
1502303314,2126,2126
1502304175,2116,2116
1502305827,2114,2114
1502307762,2111,2111
1502309433,2111,2111
1502310927,2115,2115
1502312121,2131,2131
1502313033,2124,2124
1502314123,2129,2129
1502315621,2122,2122
1502316873,2111,2111
1502317722,2120,2120
1502319380,2108,2108
1502320239,2098,2098
1502322168,2093,2093
1502323552,2084,2084
1502324431,2087,2087
1502325384,2079,2079
1502325754,2078,2078
1502327660,2084,2084
1502328637,2071,2071
1502329821,2080,2080
1502331016,2072,2072
1502332204,2065,2065
1502333108,2068,2068
1502335236,2070,2070
1502336126,2066,2066
1502337330,2066,2066
1502338261,2050,2050
1502339456,2043,2043
1502340327,2045,2045
1502341834,2045,2045
1502342922,2042,2042
1502345244,2033,2033
1502345672,2036,2036
1502346638,2034,2034
1502347546,2036,2036
1502349052,2026,2026
1502349933,2038,2038
1502352878,2020,2020
1502353868,2007,2007
1502354738,2007,2007
1502357718,2009,2009
1502358933,2009,2009
1502359830,1982,1982
1502360815,2003,2003
1502361635,1639,1639
1502362522,1645,1645
1502363454,1642,1642
1502364776,1637,1637
1502365761,1647,1647
1502367050,1851,1851
1502368121,1972,1972
1502369775,1955,1955
1502370643,1943,1943
1502370869,1946,1946
1502371842,1926,1926
1502372742,1922,1922
1502374478,1915,1915
1502376177,1919,1919
1502377024,1932,1932
1502377846,1927,1927
1502378067,1928,1928
1502379049,1909,1909
1502381462,1907,1907
1502383362,1890,1890
1502384186,1893,1893
1502385040,1881,1881
1502385913,1883,1883
1502386853,1873,1873
1502388641,1858,1858
1502390433,1864,1864
1502391381,1885,1885
1502392250,1893,1893
1502393448,1890,1890
1502394343,1900,1900
1502396063,1904,1904
1502396885,1907,1907
1502397719,1889,1889
1502400033,1893,1893
1502400921,1884,1884
1502401860,1889,1889
1502402186,1889,1889
1502403052,1888,1888
1502405736,1841,1841
1502406644,1839,1839
1502408555,1843,1843
1502410248,1854,1854
1502411327,1859,1859
1502413857,1860,1860
1502414737,1874,1874
1502415763,1876,1876
1502416592,1881,1881
1502417449,1884,1884
1502418444,1890,1890
1502419560,1880,1880
1502420509,1888,1888
1502421260,1897,1897
1502422250,1898,1898
1502423134,1901,1901
1502424643,1913,1913
1502426575,1922,1922
1502428266,1926,1926
1502429915,2002,2002
1502430926,1993,1993
1502431858,2000,2000
1502433074,1989,1989
1502433957,1998,1998
1502435676,2024,2024
1502436660,2034,2034
1502438247,2053,2053
1502439232,2053,2053
1502440228,2043,2043
1502440981,2046,2046
1502441960,2051,2051
1502442756,2064,2064
1502443829,2055,2055
1502444569,2062,2062
1502445837,2058,2058
1502446832,2072,2072
1502447960,2062,2062
1502448939,2075,2075
1502449862,2062,2062
1502451064,2059,2059
1502451934,2050,2050
1502453447,2040,2040
1502453661,2046,2046
1502454629,2036,2036
1502455368,2039,2039
1502456275,2045,2045
1502457261,2022,2022
1502460703,2014,2014
1502461553,2024,2024
1502462542,2016,2016
1502464037,2024,2024
1502464848,2027,2027
1502465716,2028,2028
1502467317,2037,2037
1502468142,2036,2036
1502469746,2049,2049
1502471449,2046,2046
1502473238,2058,2058
1502474528,2053,2053
1502475342,2053,2053
1502476258,2053,2053
1502477146,2054,2054
1502479238,2047,2047
1502480432,2017,2017
1502480555,2020,2020
1502482245,2005,2005
1502483122,2016,2016
1502484042,2014,2014
1502484930,2031,2031
1502486076,2031,2031
1502487060,2021,2021
1502487942,2017,2017
1502489442,2014,2014
1502490316,2024,2024
1502493054,2030,2030
1502495153,2047,2047
1502496106,2061,2061
1502496929,2061,2061
1502497845,2057,2057
1502498727,2058,2058
1502499678,2068,2068
1502500538,2087,2087
1502501434,2088,2088
1502502162,2101,2101
1502502981,2116,2116
1502503850,2116,2116
