DateTime,AddedIPs,RemovedIPs
1502194454,99,86
1502195418,55,78
1502196232,49,32
1502198422,125,68
1502199741,73,94
1502202022,149,88
1502202494,22,0
1502203337,52,138
1502204691,87,57
1502205615,51,0
1502206817,57,69
1502207622,40,1
1502208623,55,79
1502209596,54,1
1502211858,202,171
1502212815,54,3
1502213713,48,98
1502215628,96,93
1502216057,18,1
1502217018,48,73
1502217737,39,25
1502219044,61,63
1502220018,50,0
1502221218,64,76
1502223024,107,75
1502225066,102,111
1502226623,99,62
1502228541,86,75
1502230207,94,87
1502231121,49,2
1502231994,38,139
1502233410,78,66
1502234056,40,0
1502235020,24,87
1502235920,50,1
1502236575,39,2
1502237424,39,85
1502239334,95,110
1502241027,97,55
1502242096,52,0
1502243124,45,107
1502244558,85,42
1502245695,58,0
1502246741,53,100
1502248118,75,57
1502249295,65,1
1502250316,61,95
1502252055,83,48
1502253744,88,136
1502255426,69,52
1502257462,119,109
1502258179,36,0
1502259025,49,50
1502260096,46,1
1502260943,57,101
1502261868,49,0
1502262856,50,45
1502263819,49,89
1502265115,71,35
1502266226,59,64
1502267297,71,2
1502268140,42,124
1502269436,70,66
1502270416,53,1
1502270897,20,1
1502271837,45,79
1502273425,89,70
1502275346,115,113
1502277253,105,57
1502278213,53,108
1502279121,44,1
1502280262,57,131
1502280856,30,0
1502283891,149,235
1502284709,39,0
1502285584,46,113
1502286973,83,31
1502287825,44,85
1502289314,123,113
1502290512,75,1
1502291424,69,123
1502291653,16,0
1502292913,75,121
1502293340,28,30
1502295025,96,74
1502296940,90,111
1502297775,49,1
1502298625,51,105
1502299820,59,92
1502300743,49,32
1502301876,52,96
1502302458,29,0
1502303302,52,3
1502304146,51,93
1502305820,89,92
1502307742,97,104
1502309425,88,102
1502310916,69,94
1502312114,59,52
1502313025,43,70
1502314104,63,1
1502315614,80,120
1502316859,65,111
1502317702,43,0
1502319373,94,113
1502320225,44,83
1502322149,79,98
1502323537,71,91
1502324414,45,0
1502325361,46,97
1502325736,11,35
1502327653,84,83
1502328619,46,78
1502329813,57,1
1502330692,41,76
1502331615,49,0
1502332823,68,127
1502334297,97,66
1502335216,47,1
1502336116,51,69
1502337317,73,0
1502338222,71,106
1502339438,76,95
1502340316,37,31
1502341824,82,84
1502342901,54,0
1502343923,65,87
1502345660,89,98
1502346624,44,81
1502347525,47,28
1502349029,80,74
1502349919,42,1
1502352863,142,223
1502353843,56,119
1502354719,51,55
1502356226,105,90
1502357710,67,104
1502358910,70,3
1502359810,45,126
1502360794,73,0
1502361611,99,164
1502362514,87,2
1502363433,73,76
1502364768,91,99
1502365737,61,37
1502367886,144,88
1502368099,8,0
1502370627,156,206
1502370859,9,0
1502371826,51,117
1502372723,57,38
1502374460,104,81
1502376151,83,120
1502377017,52,1
1502377821,41,70
1502378057,12,0
1502379035,49,100
1502381425,132,170
1502383340,110,145
1502384176,36,0
1502385026,49,63
1502385890,54,0
1502386822,57,97
1502388624,91,100
1502390415,113,146
1502391373,47,1
1502392227,42,73
1502393431,65,94
1502394324,63,1
1502394978,33,0
1502396865,91,92
1502397703,37,131
1502400015,123,76
1502400913,40,77
1502401849,58,0
1502402173,14,0
1502403027,37,104
1502404818,86,120
1502405723,57,0
1502406624,49,70
1502408542,106,101
1502410221,79,71
1502411306,48,1
1502413836,107,197
1502414717,39,0
1502415747,50,130
1502416578,46,0
1502417429,37,71
1502418428,51,1
1502419532,47,128
1502420471,41,73
1502421253,25,0
1502422235,39,93
1502423116,40,34
1502424622,88,39
1502426547,99,132
1502428232,73,61
1502429033,38,0
1502429908,47,86
1502430916,64,31
1502431838,49,70
1502433046,47,103
1502433926,52,21
1502435659,93,76
1502436645,44,103
1502438224,80,30
1502439225,61,61
1502440216,55,97
1502440952,56,25
1502441940,139,74
1502442747,130,7
1502443816,206,104
1502444549,142,30
1502445802,227,66
1502446821,196,1
1502447951,166,96
1502448932,118,5
