DateTime,Entries,UniqueIPs
1501765692,4482,4563
1501767636,4491,4572
1501769545,4494,4574
1501771454,4508,4588
1501773403,4511,4591
1501775311,4513,4593
1501777241,4512,4592
1501779164,4523,4604
1501781060,4521,4602
1501783272,4515,4596
1501785358,4516,4596
1501787315,4508,4588
1501789246,4503,4584
1501791419,4506,4587
1501793312,4508,4589
1501795225,4507,4588
1501797171,4505,4585
1501799069,4501,4580
1501801006,4510,4589
1501802935,4509,4589
1501804944,4507,4588
1501806770,4522,4603
1501808672,4520,4601
1501812535,4506,4586
1501814425,4505,4585
1501818269,4503,4582
1501820221,4509,4588
1501822133,4500,4579
1501824037,4501,4580
1501825971,4503,4581
1501827865,4507,4586
1501829806,4511,4588
1501831725,4514,4591
1501833741,4514,4591
1501835569,4509,4586
1501837479,4508,4584
1501839401,4517,4593
1501841329,4524,4601
1501843226,4532,4608
1501845417,4535,4611
1501847329,4548,4624
1501849265,4559,4635
1501851171,4555,4631
1501853070,4553,4629
1501854987,4570,4646
1501856930,4563,4638
1501858953,4568,4643
1501860988,4542,4615
1501862913,4532,4605
1501867017,4496,4569
1501868905,4500,4573
1501870825,4501,4573
1501872745,4511,4583
1501874662,4495,4566
1501876598,4495,4566
1501878519,4495,4567
1501880498,4483,4555
1501882365,4481,4553
1501884535,4487,4559
1501886429,4481,4553
1501888373,4477,4549
1501890259,4478,4551
1501892217,4479,4552
1501894122,4477,4549
1501896049,4483,4558
1501897942,4481,4556
1501899866,4477,4553
1501901798,4469,4544
1501903724,4474,4548
1501905665,4470,4544
1501907568,4470,4544
1501909471,4462,4535
1501911401,4464,4538
1501913324,4470,4545
1501915227,4481,4557
1501917149,4480,4556
1501919051,4477,4553
1501920991,4489,4565
1501922911,4478,4554
1501924828,4475,4550
1501926742,4465,4540
1501928682,4463,4539
1501930607,4458,4535
1501932526,4468,4545
1501934491,4479,4556
1501936351,4482,4558
1501938269,4458,4533
1501940185,4471,4546
1501942122,4452,4525
1501944025,4461,4534
1501945947,4463,4536
1501947861,4456,4529
1501949785,4455,4529
1501951699,4452,4526
1501953628,4448,4522
1501955544,4446,4521
1501957453,4438,4513
1501959370,4429,4504
1501961300,4434,4509
1501963491,4433,4509
1501965404,4425,4500
1501967323,4425,4500
1501969226,4434,4509
1501971560,4420,4495
1501973528,4428,4503
1501975459,4439,4513
1501977368,4454,4529
1501979289,4461,4536
1501981262,4461,4536
1501983400,4445,4520
