DateTime,AddedIPs,RemovedIPs
1501765692,42,27
1501767636,40,42
1501769545,36,36
1501771454,35,40
1501773403,35,36
1501775311,30,31
1501777241,37,29
1501779164,23,40
1501781060,34,30
1501783272,27,33
1501785358,15,27
1501787315,19,16
1501789246,25,20
1501791419,47,20
1501793312,34,44
1501795225,39,37
1501797171,34,38
1501799069,43,34
1501801006,32,41
1501802935,44,35
1501804944,44,40
1501806770,46,45
1501808672,35,46
1501812535,32,36
1501814425,23,29
1501818269,59,28
1501820221,47,55
1501822133,57,51
1501824037,57,56
1501825971,48,53
1501827865,42,50
1501829806,45,36
1501831725,42,46
1501833741,18,48
1501835569,30,19
1501837479,33,30
1501839401,35,31
1501841329,51,38
1501843226,52,45
1501845417,32,47
1501847329,35,37
1501849265,40,32
1501851171,42,41
1501853070,48,46
1501854987,40,48
1501856930,35,38
1501858953,51,41
1501860988,18,52
1501862913,43,15
1501867017,28,46
1501868905,44,28
1501870825,36,42
1501872745,31,41
1501874662,45,28
1501876598,33,38
1501878519,48,38
1501880498,36,45
1501882365,32,39
1501884535,48,29
1501886429,43,51
1501888373,36,39
1501890259,49,37
1501892217,37,50
1501894122,51,38
1501896049,58,52
1501897942,51,58
1501899866,48,51
1501901798,47,44
1501903724,50,50
1501905665,25,48
1501907568,37,27
1501909471,41,40
1501911401,46,37
1501913324,44,44
1501915227,36,47
1501917149,49,34
1501919051,41,47
1501920991,38,44
1501922911,46,36
1501924828,40,47
1501926742,32,42
1501928682,46,31
1501930607,36,48
1501932526,46,34
1501934491,42,45
1501936351,51,45
1501938269,41,49
1501940185,43,39
1501942122,30,42
1501944025,36,32
1501945947,46,35
1501947861,51,47
1501949785,52,53
1501951699,44,46
1501953628,41,44
1501955544,24,43
1501957453,37,28
1501959370,30,40
1501961300,53,30
1501963491,41,49
1501965404,43,37
1501967323,39,48
1501969226,58,39
1501971560,43,61
1501973528,37,36
1501975459,45,37
1501977368,49,49
1501979289,51,48
1501981262,59,49
1501983400,43,62
1501985325,33,42
1501987224,48,35
1501989163,47,41
1501991059,48,49
1501993006,47,53
1501994906,55,45
1501996827,46,57
