DateTime,AddedIPs,RemovedIPs
1502287470,33,25
1502288446,42,26
1502289428,25,26
1502290357,18,33
1502291317,7,24
1502292266,11,15
1502293239,8,24
1502294198,13,18
1502295162,9,33
1502296113,16,17
1502297093,12,31
1502298077,13,32
1502298991,8,1
1502299951,18,20
1502300921,27,42
1502301887,30,2
1502302862,21,50
1502303786,12,27
1502304767,20,21
1502305715,15,33
1502306669,34,28
1502307651,11,46
1502308629,31,30
1502309562,11,26
1502310529,25,23
1502311475,20,44
1502312542,27,26
1502313626,18,26
1502314590,9,42
1502315532,22,31
1502316517,34,34
1502317720,47,19
1502318678,15,39
1502319723,22,36
1502320839,25,48
1502321785,16,27
1502322757,22,50
1502323715,17,24
1502324686,26,27
1502325627,15,33
1502326585,28,48
1502327560,30,35
1502328515,29,21
1502329475,25,57
1502330511,26,15
1502331412,14,25
1502332360,19,19
1502333316,26,39
1502334275,15,13
1502335255,15,36
1502336200,24,38
1502337201,18,19
1502338109,19,27
1502339084,31,18
1502340040,23,24
1502341007,29,15
1502341949,21,30
1502342924,26,12
1502343864,25,26
1502344847,39,31
1502345803,19,41
1502346777,40,92
1502347724,6,0
1502348678,48,2
1502349632,39,92
1502350608,29,2
1502351547,23,4
1502352506,23,84
1502353465,26,3
1502354453,21,2
1502355385,47,88
1502356359,13,2
1502357319,34,3
1502358264,39,2
1502359313,64,141
1502360439,34,7
1502361385,30,3
1502362356,70,100
1502363317,16,2
1502364261,36,11
1502365481,47,107
1502366480,46,10
1502367931,85,166
1502369052,48,7
1502370082,36,6
1502370999,24,92
1502371952,35,9
1502372935,41,3
1502374125,30,6
1502375071,49,107
1502376039,17,5
1502376983,39,4
1502377963,25,7
1502378919,43,112
1502379872,23,7
1502380854,50,10
1502381801,32,47
1502382771,47,66
1502383706,43,76
1502384675,27,3
1502385645,22,1
1502386607,22,35
1502387545,37,46
1502388613,25,18
1502389716,56,79
1502390685,15,4
1502391787,35,74
1502392840,21,1
1502393801,31,38
1502394755,52,71
1502395707,22,27
1502396652,35,44
1502397641,22,23
1502398582,32,39
1502399568,14,24
1502400502,36,35
1502401474,16,3
1502402472,44,22
1502403386,25,37
1502404358,38,24
1502405318,33,30
1502406270,22,31
1502407245,36,23
1502408199,22,29
1502409160,27,31
1502410121,19,34
1502411064,22,24
1502412037,15,27
1502413014,33,25
1502413947,19,2
1502414918,33,70
1502415877,21,8
1502416874,37,17
1502417810,25,34
1502418761,39,31
1502419708,18,33
1502420915,48,40
1502421883,26,5
1502422829,18,25
1502423805,49,41
1502424752,14,30
1502425715,50,33
1502426668,29,53
1502427714,38,19
1502428818,25,46
1502429797,38,18
1502430757,37,60
1502431694,46,28
1502432663,36,43
1502433872,22,23
1502434860,34,28
1502435801,33,23
1502436753,32,70
1502437720,10,2
1502438676,45,41
1502439641,25,32
1502440599,27,2
1502441564,30,47
1502442518,18,24
1502443465,43,28
1502444424,12,17
1502445405,44,24
1502446348,11,18
1502447335,32,29
1502448271,14,32
1502449308,50,24
1502450416,29,32
1502451396,44,22
1502452331,31,32
1502453604,29,43
1502454520,50,24
1502455471,20,47
1502456558,36,3
1502457622,29,42
1502458593,41,53
1502459532,27,3
1502460517,23,23
1502461454,35,24
1502462431,14,31
1502463381,36,14
1502464349,24,31
1502465316,44,20
1502466274,13,30
1502467316,49,26
1502468446,17,41
1502469387,25,4
1502470355,44,66
1502471310,20,187
1502472264,41,5
1502473228,11,15
1502474196,36,62
1502475171,26,35
1502476114,29,28
1502477070,26,37
1502478060,30,2
1502478983,15,34
1502479948,23,17
1502480919,14,36
1502481886,29,44
1502482843,30,3
1502483810,29,19
1502484744,51,60
1502485721,8,0
1502486662,22,35
1502487628,18,24
1502488599,29,30
1502489578,15,29
1502490518,15,16
1502491465,31,38
1502492462,15,15
1502493389,25,30
1502494353,22,12
1502495295,35,49
1502496288,24,30
1502497243,21,30
1502498188,22,19
1502499169,34,38
1502500130,17,32
1502501063,43,24
1502502040,19,48
1502502993,28,17
1502503963,30,36
1502504903,27,13
1502505883,18,38
1502506882,45,24
1502507802,17,30
1502508757,22,30
1502509719,25,32
1502510681,38,32
1502511638,26,43
1502512608,30,27
1502513549,17,30
1502514505,29,24
1502515719,40,21
1502516662,10,38
1502517694,33,21
1502518598,16,43
1502519556,32,28
1502520510,18,35
1502521489,23,24
1502522443,23,36
1502523405,23,29
1502524386,20,37
1502525296,18,38
1502526250,22,18
1502527241,34,29
1502528184,25,13
1502529161,15,33
1502530112,27,16
1502531065,21,27
1502532049,25,18
1502532985,16,26
1502534075,25,26
1502535411,27,35
