DateTime,Entries,UniqueIPs
1502263235,2345,2345
1502264197,2343,2343
1502265167,2342,2342
1502266119,2348,2348
1502267063,2349,2349
1502268026,2345,2345
1502269002,2350,2350
1502269949,2343,2343
1502270912,2353,2353
1502271875,2351,2351
1502272914,2352,2352
1502274028,2346,2346
1502274990,2343,2343
1502275954,2336,2336
1502276904,2334,2334
1502277861,2339,2339
1502278838,2342,2342
1502279794,2335,2335
1502280747,2337,2337
1502281689,2331,2331
1502282661,2330,2330
1502283697,2319,2319
1502284609,2314,2314
1502285557,2305,2305
1502286528,2298,2298
1502287470,2289,2289
1502288446,2292,2292
1502289428,2291,2291
1502290357,2298,2298
1502291317,2301,2301
1502292266,2299,2299
1502293239,2293,2293
1502294198,2292,2292
1502295162,2286,2286
1502296113,2283,2283
1502297093,2283,2283
1502298077,2285,2285
1502298991,2289,2289
1502299951,2285,2285
1502300921,2284,2284
1502301887,2287,2287
1502302862,2274,2274
1502303786,2276,2276
1502304767,2267,2267
1502305715,2270,2270
1502306669,2278,2278
1502307651,2279,2279
1502308629,2286,2286
1502309562,2288,2288
1502310529,2294,2294
1502311475,2301,2301
1502312542,2303,2303
1502313626,2297,2297
1502314590,2294,2294
1502315532,2294,2294
1502316517,2302,2302
1502317720,2315,2315
1502318678,2316,2316
1502319723,2312,2312
1502320839,2314,2314
1502321785,2319,2319
1502322757,2322,2322
1502323715,2324,2324
1502324686,2316,2316
1502325627,2313,2313
1502326585,2310,2310
1502327560,2313,2313
1502328515,2305,2305
1502329475,2306,2306
1502330511,2295,2295
1502331412,2298,2298
1502332360,2299,2299
1502333316,2294,2294
1502334275,2294,2294
1502335255,2290,2290
1502336200,2290,2290
1502337201,2284,2284
1502338109,2278,2278
1502339084,2266,2266
1502340040,2270,2270
1502341007,2269,2269
1502341949,2261,2261
1502342924,2271,2271
1502343864,2269,2269
1502344847,2261,2261
1502345803,2258,2258
1502346777,2259,2259
1502347724,2257,2257
1502348678,2261,2261
1502349632,2264,2264
1502350608,2268,2268
1502351547,2278,2278
1502352506,2277,2277
1502353465,2270,2270
1502354453,2278,2278
1502355385,2291,2291
1502356359,2295,2295
1502357319,2302,2302
1502358264,2319,2319
1502359313,2331,2331
1502360439,2341,2341
1502361385,2341,2341
1502362356,2348,2348
1502363317,2351,2351
1502364261,2361,2361
1502365481,2358,2358
1502366480,2363,2363
1502367931,2380,2380
1502369052,2403,2403
1502370082,2413,2413
1502370999,2416,2416
1502371952,2418,2418
1502372935,2429,2429
1502374125,2432,2432
1502375071,2439,2439
1502376039,2448,2448
