DateTime,AddedIPs,RemovedIPs
1502279791,1,6
1502280745,2,8
1502281687,1,8
1502282659,1,6
1502283695,2,6
1502284607,0,10
1502285554,3,4
1502286526,0,5
1502287469,3,6
1502288444,4,9
1502289426,3,5
1502290354,8,8
1502291315,2,1
1502292264,3,5
1502293237,0,5
1502294192,4,4
1502295160,2,2
1502296111,3,3
1502297088,2,0
1502298075,6,4
1502298989,4,6
1502299949,1,2
1502300919,3,7
1502301883,6,3
1502302860,2,6
1502303784,0,2
1502304765,7,9
1502305713,2,1
1502306667,5,0
1502307648,1,9
1502308605,9,3
1502309560,2,3
1502310527,5,2
1502311465,6,7
1502312540,1,7
1502313624,2,0
1502314588,2,9
1502315529,4,8
1502316515,12,18
1502317718,18,13
1502318675,5,6
1502319722,4,11
1502320837,1,4
1502321783,4,1
1502322753,5,6
1502323713,5,9
1502324684,5,4
1502325625,3,13
1502326583,5,5
1502327558,1,3
1502328513,4,5
1502329473,5,13
1502330509,2,1
1502331410,3,8
1502332358,4,1
1502333314,1,9
1502334273,4,9
1502335253,3,3
1502336198,4,0
1502337199,4,11
1502338107,1,0
1502339082,8,15
1502340038,10,5
1502341005,8,7
1502341947,7,0
1502342922,14,29
1502343861,7,0
1502344842,9,14
1502345800,1,9
1502346775,8,13
1502347722,1,0
1502348675,7,16
1502349630,6,0
1502350606,5,7
1502351545,7,0
1502352504,5,6
1502353462,5,13
1502354450,12,3
1502355383,14,0
1502356357,7,14
1502357317,14,6
1502358262,19,0
1502359311,21,8
1502360437,12,10
1502361383,10,0
1502362353,13,9
1502363315,6,4
1502364259,8,3
1502365479,9,7
1502366476,12,1
1502367929,11,5
1502369050,6,5
1502370080,12,14
1502370997,1,4
1502371950,11,5
1502372933,18,14
1502374123,10,2
1502375069,14,2
1502376037,10,5
1502376981,16,2
1502377961,10,5
1502378917,13,8
1502379870,4,3
1502380852,15,10
1502381799,16,6
1502382769,10,3
1502383704,13,2
1502384673,15,3
1502385643,7,6
1502386605,4,6
1502387542,14,1
1502388611,10,7
1502389714,9,0
1502390682,7,11
1502391785,10,2
1502392838,8,1
1502393799,4,0
1502394752,16,3
1502395705,2,4
1502396650,7,0
1502397639,6,0
1502398579,9,2
1502399566,5,4
1502400500,10,1
1502401472,9,6
1502402470,18,5
1502403384,8,7
1502404356,16,2
1502405316,5,3
1502406268,11,2
1502407243,13,2
1502408197,5,3
1502409157,7,7
1502410119,8,6
1502411062,8,0
1502412035,3,13
1502413005,11,2
1502413945,6,0
1502414917,7,11
1502415875,4,5
1502416872,12,0
1502417808,2,2
1502418759,12,9
1502419706,4,0
1502420913,10,22
1502421881,10,5
1502422827,6,14
1502423803,14,3
1502424750,8,12
1502425713,17,8
1502426666,12,8
1502427711,23,15
1502428816,8,7
1502429794,8,9
1502430755,16,12
1502431692,21,5
1502432661,6,4
1502433871,8,6
1502434856,8,2
1502435799,7,3
1502436751,7,2
1502437718,4,5
1502438674,7,4
1502439639,4,4
1502440597,10,4
1502441561,9,6
1502442516,2,1
1502443463,15,7
1502444422,0,3
1502445403,13,6
1502446346,0,1
1502447333,20,3
1502448269,0,3
1502449300,17,1
1502450414,3,2
1502451393,27,3
1502452329,10,1
1502453602,9,3
1502454518,18,0
1502455469,3,0
1502456556,12,0
1502457620,10,0
1502458591,5,0
1502459530,9,1
1502460515,8,0
1502461452,17,8
1502462429,4,1
1502463379,11,5
1502464347,3,3
1502465314,15,3
1502466272,9,3
1502467313,16,3
1502468444,3,3
1502469384,12,1
1502470353,6,6
1502471308,6,8
1502472262,17,2
1502473226,1,8
1502474194,9,2
1502475169,2,0
1502476112,5,0
1502477067,11,1
1502478052,8,6
1502478981,3,4
1502479946,9,3
1502480917,3,6
1502481883,6,0
1502482841,7,6
1502483808,11,1
1502484741,12,2
1502485719,6,1
1502486660,4,3
1502487625,6,3
1502488597,9,3
1502489576,2,8
1502490516,5,11
1502491463,15,6
1502492460,7,5
1502493386,6,2
1502494351,8,4
1502495294,13,4
1502496286,13,5
1502497241,10,7
1502498186,4,0
1502499165,12,3
1502500128,6,2
1502501061,10,2
1502502038,7,5
1502502991,11,7
1502503961,8,0
1502504901,12,8
1502505881,5,2
1502506870,18,4
1502507798,8,4
1502508754,8,5
1502509717,4,4
1502510680,8,4
1502511636,8,1
1502512606,5,7
1502513545,2,16
1502514503,13,12
1502515717,10,15
1502516660,3,4
1502517693,8,6
1502518596,1,8
1502519554,13,3
1502520508,1,13
1502521485,7,8
1502522441,8,11
1502523403,7,6
1502524383,2,9
1502525294,8,7
1502526248,1,13
1502527239,7,9
1502528182,6,26
1502529159,2,28
1502530110,4,22
1502531063,3,34
1502532047,10,23
1502532983,2,19
1502534073,9,8
1502535408,9,28
1502536365,9,7
1502537332,7,18
1502538517,4,26
1502539478,2,8
1502540766,8,13
1502541857,4,9
1502542866,5,20
1502543794,4,5
1502544743,8,5
1502545720,3,11
1502546675,2,11
1502547646,1,17
1502548597,2,10
1502549567,6,17
1502550492,6,8
1502551448,4,27
1502552438,7,11
1502553410,11,9
1502554394,3,12
1502555314,6,12
1502556274,3,16
1502557290,14,13
1502558197,2,11
1502559169,5,2
1502560104,3,12
1502561072,10,3
1502562050,5,8
1502562982,8,7
1502563953,4,5
1502564922,4,1
1502565871,1,11
1502566837,5,7
1502567804,5,10
1502568780,6,4
1502569700,4,7
1502570664,4,3
1502571702,4,6
1502572611,2,4
1502573564,5,9
1502574525,6,10
1502575496,3,7
1502576707,7,12
1502577882,5,10
1502578868,9,6
1502579819,4,5
1502580771,6,4
1502581722,2,6
1502582684,2,0
1502583639,5,4
1502584607,3,9
1502585547,4,0
1502586500,2,4
1502587471,8,8
1502588428,1,0
1502589399,1,8
1502590370,0,8
1502591314,4,0
1502592283,2,10
1502593295,9,4
1502594448,3,11
1502595400,5,2
1502596344,2,10
1502597327,6,17
1502598259,3,15
1502599241,3,5
1502600191,2,18
1502601161,4,13
1502602101,5,0
1502603061,2,26
