DateTime,Entries,UniqueIPs
1502269000,20038,20277
1502269947,20035,20274
1502270910,20040,20279
1502271873,20039,20278
1502272911,20041,20280
1502274026,20036,20275
1502274988,20037,20276
1502275952,20037,20275
1502276902,20030,20268
1502277859,20027,20265
1502278836,20029,20267
1502279791,20017,20255
1502280745,20019,20257
1502281687,20018,20256
1502282659,20014,20252
1502283695,20010,20248
1502284607,20007,20245
1502285554,20007,20245
1502286526,20003,20241
1502287469,20003,20241
1502288444,20004,20242
1502289426,19996,20234
1502290354,19997,20235
1502291315,19990,20228
1502292264,19985,20225
1502293237,19982,20222
1502294192,19980,20220
1502295160,19979,20219
1502296111,19980,20220
1502297088,19974,20214
1502298075,19974,20214
1502298989,19978,20218
1502299949,19973,20212
1502300919,19969,20208
1502301883,19975,20214
1502302860,19973,20212
1502303784,19967,20206
1502304765,19972,20211
1502305713,19973,20212
1502306667,19970,20209
1502307648,19967,20206
1502308605,19974,20213
1502309560,19971,20210
1502310527,19975,20214
1502311465,19981,20220
1502312540,19966,20205
1502313624,19966,20205
1502314588,19963,20202
1502315529,19967,20206
1502316515,19972,20213
1502317718,19984,20226
1502318675,19985,20227
1502319722,19987,20229
1502320837,19980,20222
1502321783,19982,20224
1502322753,19984,20226
1502323713,19985,20227
1502324684,19985,20227
1502325625,19979,20221
1502326583,19979,20221
1502327558,19973,20215
1502328513,19975,20217
1502329473,19970,20212
1502330509,19968,20210
1502331410,19966,20208
1502332358,19969,20211
1502333314,19964,20206
1502334273,19961,20203
1502335253,19955,20197
1502336198,19954,20197
1502337199,19954,20197
1502338107,19948,20191
1502339082,19949,20192
1502340038,19952,20195
1502341005,19957,20200
1502341947,19961,20204
1502342922,19971,20214
1502343861,19973,20216
1502344842,19979,20222
1502345800,19968,20211
1502346775,19959,20200
1502347722,19960,20201
1502348675,19967,20208
1502349630,19957,20198
1502350606,19962,20203
1502351545,19969,20210
1502352504,19961,20200
1502353462,19966,20205
1502354450,19978,20217
1502355383,19969,20208
1502356357,19976,20215
1502357317,19990,20229
1502358262,20009,20248
1502359311,19999,20238
1502360437,20011,20250
1502361383,20021,20260
1502362353,20011,20250
1502363315,20017,20256
1502364259,20025,20264
1502365479,20020,20260
1502366476,20032,20272
1502367929,20018,20258
1502369050,20023,20263
1502370080,20035,20275
1502370997,20017,20257
1502371950,20028,20268
1502372933,20046,20286
1502374123,20055,20296
1502375069,20030,20270
1502376037,20040,20280
1502376981,20056,20296
1502377961,20066,20306
1502378917,20038,20277
1502379870,20042,20281
1502380852,20057,20296
1502381799,20067,20306
1502382769,20046,20285
1502383704,20036,20275
1502384673,20051,20290
1502385643,20057,20297
1502386605,20055,20295
1502387542,20048,20288
1502388611,20050,20290
1502389714,20038,20277
1502390682,20045,20284
1502391785,20029,20268
1502392838,20037,20276
1502393799,20038,20277
1502394752,20033,20272
1502395705,20030,20268
1502396650,20029,20266
1502397639,20031,20268
1502398579,20025,20262
1502399566,20017,20254
1502400500,20014,20251
1502401472,20023,20260
1502402470,20036,20274
1502403384,20026,20264
1502404356,20033,20271
1502405316,20025,20263
1502406268,20027,20265
1502407243,20033,20270
1502408197,20027,20264
1502409157,20030,20267
1502410119,20034,20271
1502411062,20036,20273
1502412035,20035,20272
1502413005,20041,20278
1502413945,20047,20284
1502414917,20035,20272
1502415875,20039,20276
1502416872,20049,20286
1502417808,20045,20282
1502418759,20051,20288
1502419706,20047,20284
1502420913,20052,20289
1502421881,20062,20299
1502422827,20065,20302
1502423803,20068,20305
1502424750,20069,20306
1502425713,20079,20316
1502426666,20073,20310
1502427711,20091,20328
1502428816,20095,20332
1502429794,20100,20337
1502430755,20104,20341
1502431692,20121,20359
1502432661,20123,20361
1502433871,20125,20363
1502434856,20120,20359
1502435799,20121,20360
1502436751,20112,20351
1502437718,20116,20355
1502438674,20107,20346
1502439639,20098,20337
1502440597,20108,20347
1502441561,20112,20351
1502442516,20110,20349
1502443463,20115,20354
1502444422,20108,20347
1502445403,20117,20356
1502446346,20112,20351
1502447333,20126,20366
1502448269,20121,20361
1502449300,20131,20371
1502450414,20127,20367
1502451393,20151,20392
1502452329,20154,20395
1502453602,20141,20382
1502454518,20145,20387
1502455469,20140,20382
1502456556,20151,20394
1502457620,20145,20388
1502458591,20129,20372
1502459530,20137,20381
1502460515,20141,20385
1502461452,20154,20398
1502462429,20151,20395
1502463379,20159,20403
1502464347,20149,20393
1502465314,20160,20404
1502466272,20158,20402
1502467313,20166,20410
1502468444,20160,20404
1502469384,20172,20416
1502470353,20167,20411
1502471308,20158,20402
1502472262,20175,20419
1502473226,20172,20416
1502474194,20163,20407
1502475169,20162,20406
1502476112,20164,20408
1502477067,20169,20412
1502478052,20177,20420
1502478981,20173,20416
1502479946,20178,20421
1502480917,20168,20411
1502481883,20164,20407
1502482841,20171,20414
1502483808,20178,20421
1502484741,20169,20412
1502485719,20174,20418
1502486660,20173,20417
1502487625,20173,20417
1502488597,20177,20420
1502489576,20173,20416
1502490516,20174,20417
1502491463,20184,20428
1502492460,20184,20429
1502493386,20179,20424
1502494351,20184,20429
1502495294,20190,20436
1502496286,20200,20446
1502497241,20197,20443
1502498186,20201,20447
1502499165,20205,20451
1502500128,20207,20454
1502501061,20211,20458
1502502038,20205,20452
1502502991,20211,20458
1502503961,20214,20462
1502504901,20221,20469
1502505881,20220,20469
1502506870,20230,20480
1502507798,20225,20476
1502508754,20230,20482
1502509717,20226,20478
1502510680,20231,20483
1502511636,20234,20486
1502512606,20233,20484
1502513545,20231,20482
1502514503,20233,20487
1502515717,20240,20495
1502516660,20239,20494
1502517693,20245,20500
1502518596,20241,20496
1502519554,20248,20503
1502520508,20237,20490
1502521485,20234,20487
1502522441,20233,20486
1502523403,20232,20484
1502524383,20218,20470
1502525294,20219,20471
1502526248,20212,20463
1502527239,20205,20455
1502528182,20205,20455
1502529159,20197,20447
1502530110,20194,20444
1502531063,20185,20435
1502532047,20186,20437
1502532983,20179,20430
1502534073,20181,20433
1502535408,20172,20424
1502536365,20167,20419
1502537332,20166,20418
1502538517,20155,20408
1502539478,20157,20410
1502540766,20152,20404
1502541857,20142,20395
1502542866,20142,20395
1502543794,20134,20387
1502544743,20131,20384
1502545720,20125,20378
1502546675,20117,20370
1502547646,20106,20359
1502548597,20103,20355
1502549567,20078,20330
1502550492,20084,20336
1502551448,20077,20329
1502552438,20061,20313
1502553410,20065,20317
1502554394,20055,20307
1502555314,20051,20303
1502556274,20042,20294
1502557290,20041,20294
1502558197,20043,20296
1502559169,20043,20295
1502560104,20046,20298
1502561072,20042,20294
1502562050,20043,20295
1502562982,20051,20303
1502563953,20034,20286
1502564922,20038,20290
1502565871,20036,20288
1502566837,20038,20288
1502567804,20037,20287
1502568780,20035,20285
1502569700,20034,20284
1502570664,20025,20275
1502571702,20023,20273
1502572611,20015,20264
1502573564,20013,20262
