DateTime,AddedIPs,RemovedIPs
1502274026,1,5
1502274988,4,5
1502275952,4,5
1502276902,1,4
1502277859,2,4
1502278836,8,3
1502279791,1,7
1502280745,2,1
1502281687,1,5
1502282659,1,5
1502283695,2,14
1502284607,0,4
1502285554,3,5
1502286526,0,8
1502287469,3,6
1502288444,4,2
1502289426,3,2
1502290354,8,5
1502291315,2,2
1502292264,3,5
1502293237,0,8
1502294192,4,3
1502295160,2,10
1502296111,3,6
1502297088,2,3
1502298075,6,2
1502298989,4,3
1502299949,1,6
1502300919,3,6
1502301883,6,1
1502302860,2,7
1502304765,7,11
1502305713,2,2
1502306667,5,1
1502307648,1,0
1502308605,9,3
1502309560,2,4
1502310527,5,0
1502311465,6,0
1502312540,1,2
1502313624,2,4
1502314588,2,1
1502315529,4,6
1502316515,12,5
1502317718,18,7
1502318675,5,2
1502319722,4,3
1502320837,1,2
1502321783,4,2
1502322753,5,3
1502323713,5,7
1502324684,5,6
1502325625,3,6
1502326583,5,7
1502327558,1,2
1502328513,4,11
1502329473,5,0
1502330509,2,5
1502331410,3,2
1502332358,4,4
1502333314,1,5
1502334273,4,11
1502335253,3,11
1502336198,4,5
1502337199,4,14
1502338107,1,3
1502339082,8,12
1502340038,10,8
1502341005,8,8
1502341947,7,15
1502342922,14,7
1502343861,7,9
1502344842,9,12
1502345800,1,5
1502346775,8,4
1502347722,1,6
1502348675,7,2
1502349630,6,3
1502350606,5,2
1502351545,7,5
1502352504,5,4
1502353462,5,4
1502354450,12,4
1502355383,14,6
1502356357,7,1
1502357317,14,7
1502358262,19,3
1502359311,21,6
1502360437,12,1
1502361383,10,3
1502362353,13,3
1502363315,6,1
1502364259,8,2
1502365479,9,3
1502366476,12,1
1502367929,11,3
1502369050,6,0
1502370080,12,0
1502370997,1,0
1502371950,11,0
1502372933,18,0
1502374123,10,1
1502375069,14,8
1502376037,10,1
1502376981,16,5
1502377961,10,3
1502378917,13,3
1502379870,4,1
1502380852,15,2
1502381799,16,3
1502382769,10,3
1502383704,13,1
1502384673,15,6
1502385643,7,8
1502386605,4,2
1502387542,14,8
1502388611,10,2
1502389714,9,0
1502390682,7,1
1502391785,10,6
1502392838,8,4
1502393799,4,3
1502394752,16,6
1502395705,2,0
1502396650,7,6
1502397639,6,1
1502398579,9,2
1502399566,5,1
1502400500,10,3
1502401472,9,3
1502402470,18,3
1502403384,8,8
1502404356,16,11
1502405316,5,6
1502406268,11,5
1502407243,13,2
1502408197,5,4
1502409157,7,4
1502410119,8,5
1502411062,8,7
1502412035,3,0
1502413005,11,3
1502413945,6,2
1502414917,7,2
1502415875,4,5
1502416872,12,7
1502417808,2,0
1502418759,12,8
1502419706,4,2
1502420913,10,4
1502421881,10,4
1502422827,6,5
1502423803,14,4
1502424750,8,4
1502425713,17,1
1502426666,12,7
1502427711,23,16
1502428816,8,12
1502429794,8,15
1502430755,16,4
1502431692,21,6
1502432661,6,8
1502433871,8,3
1502434856,8,13
1502435799,7,8
1502436751,7,11
1502437718,4,6
1502438674,7,9
1502439639,4,7
1502440597,10,13
1502441561,9,9
1502442516,2,26
1502443463,15,28
1502444422,0,22
1502445403,13,34
1502446346,0,23
1502447333,20,19
1502448269,0,8
1502449300,17,28
1502450414,3,7
1502451393,27,18
1502452329,10,26
1502453602,9,8
1502454518,18,13
1502455469,3,9
1502456556,12,20
1502457620,10,5
1502458591,5,5
1502459530,9,11
1502460515,8,11
1502461452,17,17
1502462429,4,10
1502463379,11,17
1502464347,3,8
1502465314,15,27
1502466272,9,11
1502467313,16,9
1502468444,3,12
1502469384,12,12
1502470353,6,16
1502471308,6,13
1502472262,17,11
1502473226,1,2
1502474194,9,12
1502475169,2,3
1502476112,5,8
1502477067,11,7
1502478052,8,5
1502478981,3,1
1502479946,9,11
1502480917,3,7
1502481883,6,10
1502482841,7,4
1502483808,11,7
1502484741,12,3
1502485719,6,6
1502486660,4,4
1502487625,6,9
1502488597,9,10
1502489576,2,7
1502490516,5,12
1502491463,15,7
1502492460,7,3
1502493386,6,6
1502494351,8,5
1502495294,13,4
1502496286,13,6
1502497241,10,4
1502498186,4,3
1502499165,12,6
1502500128,6,4
1502501061,10,5
1502502038,7,3
1502502991,11,7
1502503961,8,2
1502504901,13,8
1502505881,5,1
1502506870,18,10
1502507798,8,4
1502508754,9,11
1502509717,4,3
1502510680,9,10
1502511636,8,17
1502512606,5,16
1502513545,3,5
1502514503,13,19
1502515717,10,13
1502516660,3,7
1502517693,9,19
1502518596,1,5
1502519554,13,9
1502520508,1,1
1502521485,7,7
1502522441,8,7
1502523403,7,4
1502524383,2,5
1502525294,8,4
1502526248,2,3
1502527239,7,4
1502528182,7,8
1502529159,2,1
1502530110,5,17
1502531063,3,1
1502532047,11,26
1502532983,2,9
1502534073,10,32
1502535408,9,24
1502536365,9,8
1502537332,8,18
1502538517,4,31
1502539478,2,7
1502540766,8,25
1502541857,4,4
1502542866,5,14
1502543794,4,3
1502544743,9,12
1502545720,3,6
1502546675,3,16
1502547646,1,21
1502548597,2,7
1502549567,7,16
1502550492,6,4
1502551448,4,15
