DateTime,Entries,UniqueIPs
1502287469,319,319
1502288444,321,321
1502289426,322,322
1502290354,325,325
1502291315,325,325
1502292264,323,323
1502293237,315,315
1502294192,316,316
1502295160,308,308
1502296111,305,305
1502297088,304,304
1502298075,308,308
1502298989,309,309
1502299949,304,304
1502300919,301,301
1502301883,306,306
1502302860,301,301
1502304765,297,297
1502305713,297,297
1502306667,301,301
1502307648,302,302
1502308605,308,308
1502309560,306,306
1502310527,311,311
1502311465,317,317
1502312540,316,316
1502313624,314,314
1502314588,315,315
1502315529,313,313
1502316515,320,320
1502317718,331,331
1502318675,334,334
1502319722,335,335
1502320837,334,334
1502321783,336,336
1502322753,338,338
1502323713,336,336
1502324684,335,335
1502325625,332,332
1502326583,330,330
1502327558,329,329
1502328513,322,322
1502329473,327,327
1502330509,324,324
1502331410,325,325
1502332358,325,325
1502333314,321,321
1502334273,314,314
1502335253,306,306
1502336198,305,305
1502337199,295,295
1502338107,293,293
1502339082,289,289
1502340038,291,291
1502341005,291,291
1502341947,283,283
1502342922,290,290
1502343861,288,288
1502344842,285,285
1502345800,281,281
1502346775,285,285
1502347722,280,280
1502348675,285,285
1502349630,288,288
1502350606,291,291
1502351545,293,293
1502352504,294,294
1502353462,295,295
1502354450,303,303
1502355383,311,311
1502356357,317,317
1502357317,324,324
1502358262,340,340
1502359311,355,355
1502360437,366,366
1502361383,373,373
1502362353,383,383
1502363315,388,388
1502364259,394,394
1502365479,400,400
1502366476,411,411
1502367929,419,419
1502369050,425,425
1502370080,437,437
1502370997,438,438
1502371950,449,449
1502372933,467,467
1502374123,476,476
1502375069,482,482
1502376037,491,491
1502376981,502,502
1502377961,509,509
1502378917,519,519
1502379870,522,522
1502380852,535,535
1502381799,548,548
1502382769,555,555
1502383704,567,567
1502384673,576,576
1502385643,575,575
1502386605,577,577
1502387542,583,583
1502388611,591,591
1502389714,600,600
1502390682,606,606
1502391785,610,610
1502392838,614,614
1502393799,615,615
1502394752,625,625
1502395705,627,627
1502396650,628,628
1502397639,633,633
1502398579,640,640
1502399566,644,644
1502400500,651,651
1502401472,657,657
1502402470,672,672
1502403384,672,672
1502404356,677,677
1502405316,676,676
1502406268,682,682
1502407243,693,693
1502408197,694,694
1502409157,697,697
1502410119,700,700
1502411062,701,701
1502412035,704,704
1502413005,712,712
1502413945,716,716
1502414917,721,721
1502415875,720,720
1502416872,725,725
1502417808,727,727
1502418759,731,731
1502419706,733,733
1502420913,739,739
1502421881,745,745
1502422827,746,746
1502423803,756,756
1502424750,760,760
1502425713,776,776
1502426666,781,781
1502427711,788,788
1502428816,784,784
1502429794,777,777
1502430755,789,789
1502431692,804,804
1502432661,802,802
1502433871,807,807
1502434856,802,802
1502435799,801,801
1502436751,797,797
1502437718,795,795
1502438674,793,793
1502439639,790,790
1502440597,787,787
1502441561,787,787
1502442516,763,763
1502443463,750,750
1502444422,728,728
1502445403,707,707
1502446346,684,684
1502447333,685,685
1502448269,677,677
1502449300,666,666
1502450414,662,662
1502451393,671,671
1502452329,655,655
1502453602,656,656
1502454518,661,661
1502455469,655,655
1502456556,647,647
1502457620,652,652
1502458591,652,652
1502459530,650,650
1502460515,647,647
1502461452,647,647
1502462429,641,641
1502463379,635,635
1502464347,630,630
1502465314,618,618
1502466272,616,616
1502467313,623,623
1502468444,614,614
1502469384,614,614
1502470353,604,604
1502471308,597,597
1502472262,603,603
1502473226,602,602
1502474194,599,599
1502475169,598,598
1502476112,595,595
1502477067,599,599
1502478052,602,602
1502478981,604,604
1502479946,602,602
1502480917,598,598
1502481883,594,594
1502482841,597,597
1502483808,601,601
1502484741,610,610
1502485719,610,610
1502486660,610,610
1502487625,607,607
1502488597,606,606
1502489576,601,601
1502490516,594,594
1502491463,602,602
1502492460,606,606
1502493386,606,606
1502494351,609,609
1502495294,618,618
1502496286,625,625
1502497241,631,631
1502498186,632,632
1502499165,638,638
1502500128,640,640
1502501061,645,645
1502502038,649,649
1502502991,653,653
1502503961,659,659
1502504901,664,664
1502505881,668,668
1502506870,676,676
1502507798,680,680
1502508754,678,678
1502509717,679,679
1502510680,678,678
1502511636,669,669
1502512606,658,658
1502513545,656,656
1502514503,650,650
1502515717,647,647
1502516660,643,643
1502517693,633,633
1502518596,629,629
1502519554,633,633
1502520508,633,633
1502521485,633,633
1502522441,634,634
1502523403,637,637
1502524383,634,634
1502525294,638,638
1502526248,637,637
1502527239,640,640
1502528182,639,639
1502529159,640,640
1502530110,628,628
1502531063,630,630
1502532047,615,615
1502532983,608,608
1502534073,586,586
1502535408,571,571
1502536365,572,572
1502537332,562,562
1502538517,535,535
1502539478,530,530
1502540766,513,513
1502541857,513,513
1502542866,504,504
1502543794,505,505
1502544743,502,502
1502545720,499,499
1502546675,486,486
1502547646,466,466
1502548597,461,461
1502549567,452,452
1502550492,454,454
1502551448,443,443
1502552438,438,438
1502553410,430,430
1502554394,425,425
1502555314,423,423
1502556274,422,422
1502557290,424,424
1502558197,420,420
1502559169,412,412
1502560104,412,412
1502561072,415,415
1502562050,413,413
1502562982,410,410
1502563953,405,405
1502564922,402,402
1502565871,401,401
1502566837,399,399
1502567804,394,394
1502568780,396,396
1502569700,390,390
1502570664,389,389
1502571702,381,381
1502572611,381,381
1502573564,381,381
1502574525,387,387
1502575496,380,380
1502576707,384,384
1502577882,370,370
1502578868,375,375
1502579819,378,378
1502580771,377,377
1502581722,366,366
1502582684,359,359
1502583639,357,357
1502584607,355,355
1502585547,355,355
1502586500,353,353
1502587471,355,355
1502588428,349,349
1502589399,344,344
1502590370,338,338
1502591314,334,334
1502592283,330,330
1502593295,315,315
1502594448,313,313
1502595400,310,310
1502596344,307,307
1502597327,306,306
1502598259,307,307
1502599241,305,305
1502600191,301,301
1502601161,300,300
1502602101,299,299
1502603061,298,298
1502604114,295,295
1502605233,296,296
1502606199,294,294
1502607152,294,294
1502608126,292,292
1502609065,297,297
1502610038,293,293
1502610991,298,298
1502611974,302,302
