DateTime,AddedIPs,RemovedIPs
1502286528,51,88
1502287470,107,36
1502288446,96,82
1502289428,81,102
1502290357,18,54
1502291317,15,97
1502292266,21,90
1502293239,12,77
1502294198,28,67
1502295162,8,52
1502296113,30,46
1502297093,9,50
1502298077,8,45
1502298991,18,58
1502299951,39,107
1502300921,42,0
1502301887,72,76
1502302862,24,40
1502303786,23,0
1502304767,34,67
1502305715,17,47
1502306669,73,40
1502307651,9,17
1502308629,58,44
1502309562,15,38
1502310529,40,47
1502311475,24,40
1502312542,55,51
1502313626,36,75
1502314590,23,68
1502315532,28,75
1502316517,44,57
1502317720,72,68
1502318678,30,48
1502319723,55,202
1502320839,54,108
1502321785,44,0
1502322757,32,65
1502323715,13,56
1502324686,51,58
1502325627,16,51
1502326585,57,56
1502327560,74,53
1502328515,57,92
1502329475,46,50
1502330511,61,88
1502331412,11,84
1502332360,52,61
1502333316,44,49
1502334275,30,78
1502335255,20,154
1502336200,44,34
1502337201,38,96
1502338109,41,37
1502339084,60,106
1502340040,25,55
1502341007,59,108
1502341949,15,49
1502342924,44,43
1502343864,40,86
1502344847,57,71
1502345803,32,52
1502346777,64,50
1502347724,11,58
1502348678,96,57
1502349632,56,89
1502350608,68,36
1502351547,55,81
1502352506,18,80
1502353465,69,39
1502354453,32,98
1502355385,42,78
1502356359,20,84
1502357319,54,35
1502358264,45,59
1502359313,67,51
1502360439,57,25
1502361385,61,67
1502362356,71,41
1502363317,34,35
1502364261,78,32
1502365481,79,71
1502366480,88,24
1502367931,124,85
1502369052,97,86
1502370082,80,13
1502370999,13,54
1502371952,76,30
1502372935,58,59
1502374125,63,34
1502375071,65,45
1502376039,31,38
1502376983,61,48
1502377963,60,41
1502378919,57,66
1502379872,61,91
1502380854,92,22
1502381801,27,58
1502382771,68,48
1502383706,76,65
1502384675,42,48
1502385645,43,41
1502386607,51,46
1502387545,47,0
1502388613,28,26
1502389716,96,72
1502390685,29,58
1502391787,53,19
1502392840,52,59
1502393801,51,46
1502394755,69,83
1502395707,44,0
1502396652,59,74
1502397641,29,23
1502398582,91,52
1502399568,27,86
1502400502,59,0
1502401474,37,33
1502402472,79,78
1502403386,29,34
1502404358,69,62
1502405318,69,61
1502406270,39,65
1502407245,55,97
1502408199,39,0
1502409160,54,89
1502410121,21,25
1502411064,67,85
1502412037,36,23
1502413014,64,77
1502413947,40,0
1502414918,74,126
1502415877,72,32
1502416874,47,0
1502417810,27,13
1502418761,68,106
1502419708,30,0
1502420915,69,113
1502421883,48,68
1502422829,23,121
1502423805,80,21
1502424752,18,125
1502425715,66,36
1502426668,45,97
1502427714,60,36
1502428818,25,99
1502429797,56,38
1502430757,51,102
1502431694,45,111
1502432663,89,97
1502433872,35,66
1502434860,71,88
1502435801,71,55
1502436753,65,29
1502437720,23,66
1502438676,87,23
1502439641,57,74
1502440599,56,26
1502441564,66,112
1502442518,67,12
1502443465,82,127
1502444424,33,41
1502445405,82,73
1502446348,29,56
1502447335,65,90
1502448271,58,66
1502449308,92,146
1502450416,48,128
1502451396,44,122
1502452331,50,88
1502453604,39,152
1502454520,92,46
1502455471,28,0
1502456558,67,100
1502457622,46,59
1502458593,52,40
1502459532,52,66
1502460517,29,34
1502461454,62,35
1502462431,41,75
1502463381,74,42
1502464349,67,57
1502465316,96,57
1502466274,18,60
1502467316,69,28
1502468446,30,60
1502469387,51,38
1502470355,88,60
1502471310,19,29
1502472264,90,37
1502473228,32,40
1502474196,68,55
1502475171,28,49
1502476114,80,27
1502477070,32,52
1502478060,54,51
1502478983,31,48
1502479948,54,20
1502480919,36,55
1502481886,46,31
1502482843,69,62
1502483810,44,41
1502484744,95,60
1502485721,19,38
1502486662,33,36
1502487628,35,48
1502488599,57,41
1502489578,27,40
1502490518,43,19
