DateTime,Entries,UniqueIPs
1500959746,14973,14973
1500963332,14876,14876
1500966951,14811,14811
1500970553,14735,14735
1500974136,14655,14655
1500977730,14579,14579
1500981321,14503,14503
1500984941,14436,14436
1500988522,14364,14364
1500992122,14283,14283
1500995720,14208,14208
1500999326,14158,14158
1501002927,14103,14103
1501006517,14034,14034
1501010115,13957,13957
1501013716,13869,13869
1501017314,13819,13819
1501020898,13753,13753
1501024489,13675,13675
1501028086,13598,13598
1501031694,13535,13535
1501035281,13475,13475
1501038886,13410,13410
1501042472,13350,13350
1501046127,13281,13281
1501049680,13214,13214
1501053311,13154,13154
1501056883,13104,13104
1501060456,13032,13032
1501064055,12956,12956
1501067650,12935,12935
1501071265,12863,12863
1501074858,12802,12802
1501078438,12726,12726
1501082035,12662,12662
1501085636,12580,12580
1501089249,12516,12516
1501092831,12451,12451
1501096433,12391,12391
1501100027,12315,12315
1501103633,12233,12233
1501107223,12173,12173
1501110815,12095,12095
1501114412,12026,12026
1501118010,11949,11949
1501121610,11872,11872
1501125195,11803,11803
1501128794,11730,11730
1501132389,11664,11664
1501135989,11597,11597
1501139582,11534,11534
1501143178,11452,11452
1501146773,11378,11378
1501150370,11315,11315
1501153965,11245,11245
1501157555,11165,11165
1501161148,11082,11082
1501164746,10971,10971
1501168345,10888,10888
1501171937,10813,10813
1501175546,10739,10739
1501179136,10675,10675
1501182743,10589,10589
1501186325,10534,10534
1501189923,10482,10482
1501193518,10419,10419
1501197135,10311,10311
1501200714,10218,10218
1501204302,10100,10100
1501207899,10015,10015
1501211506,9919,9919
1501215100,9846,9846
1501218703,9768,9768
1501222295,9694,9694
1501225893,9619,9619
1501229502,9554,9554
1501233090,9492,9492
1501236689,9426,9426
1501240281,9360,9360
1501243879,9286,9286
1501247468,9225,9225
1501251064,9188,9188
1501254671,9167,9167
1501258270,9145,9145
1501261866,9124,9124
1501265466,9108,9108
1501269069,9078,9078
1501272665,9046,9046
1501276263,9000,9000
1501279860,8972,8972
1501283460,8936,8936
1501287049,8886,8886
1501290653,8834,8834
1501294240,8791,8791
1501297850,8741,8741
1501301437,8691,8691
1501305037,8648,8648
1501308619,8598,8598
1501312224,8550,8550
1501315820,8472,8472
1501319415,8410,8410
1501323020,8351,8351
1501326632,8282,8282
1501330229,8289,8289
1501333828,8384,8384
1501337429,8401,8401
1501341034,8437,8437
1501344632,8431,8431
1501348237,8424,8424
1501351829,8409,8409
1501355435,8429,8429
1501359046,8458,8458
1501362650,8504,8504
1501366254,8535,8535
1501369858,8565,8565
1501373456,8620,8620
1501377055,8688,8688
1501380646,8729,8729
1501384248,8755,8755
1501387857,8825,8825
1501391460,8829,8829
1501395054,8840,8840
1501398656,8824,8824
1501402258,8808,8808
1501405860,8768,8768
1501409459,8742,8742
1501413058,8736,8736
1501416657,8715,8715
1501423846,8655,8655
1501427439,8645,8645
1501431040,8607,8607
1501434644,8581,8581
1501438255,8565,8565
1501441851,8555,8555
1501445450,8559,8559
1501449054,8562,8562
1501452654,8556,8556
1501456255,8545,8545
1501459845,8531,8531
1501463443,8507,8507
1501467044,8492,8492
1501470649,8473,8473
1501474240,8453,8453
1501477839,8443,8443
1501481440,8437,8437
1501485041,8431,8431
1501488632,8419,8419
1501492232,8427,8427
1501495837,8442,8442
1501499448,8453,8453
1501503042,8469,8469
1501506650,8477,8477
1501510237,8501,8501
1501513872,8512,8512
1501517468,8495,8495
1501521058,8472,8472
1501524672,8454,8454
1501528258,8434,8434
1501531861,8422,8422
1501535451,8414,8414
1501539048,8407,8407
1501542642,8389,8389
1501546257,8373,8373
1501549850,8364,8364
1501553443,8335,8335
1501557042,8317,8317
1501560645,8295,8295
1501564242,8294,8294
1501567835,8279,8279
1501571430,8262,8262
