DateTime,AddedIPs,RemovedIPs
1502399771,73,0
1502400502,214,93
1502401474,135,140
1502402472,316,112
1502403386,136,305
1502404358,287,62
1502405318,243,225
1502406270,212,241
1502407245,213,151
1502408199,143,139
1502409160,233,53
1502409693,47,0
1502410121,79,199
1502410571,37,1679
1502411064,226,9
1502412037,149,280
1502413014,256,169
1502413947,118,6
1502414171,39,0
1502414918,263,322
1502415877,248,267
1502416874,215,6
1502417308,4,0
1502417810,118,43
1502418495,65,0
1502418761,261,268
1502419708,123,6
1502420915,288,199
1502421883,265,107
1502422829,113,154
1502423805,281,162
1502424752,77,192
1502424971,49,0
1502425715,256,61
1502426668,162,221
1502427714,208,97
1502428603,4,3
1502428818,196,214
1502429797,225,153
1502430757,182,197
1502431694,155,113
1502432442,96,8
1502432663,286,227
1502433872,145,88
1502434367,7,6
1502434860,301,227
1502435801,199,171
1502436279,81,5
1502436753,243,191
1502437720,100,145
1502438202,3,3
1502438676,239,75
1502439641,274,225
1502440118,3,5
1502440599,213,152
1502441564,194,170
1502442155,7,1
1502442518,233,51
1502442971,108,0
1502443465,224,176
1502444424,129,86
1502445405,238,141
1502445884,7,4
1502446348,85,171
1502446570,74,0
1502447335,234,152
1502447807,2,1
1502448271,168,244
1502449308,331,120
1502449724,5,2
1502450416,209,196
1502451396,222,228
1502451628,4,7
1502452331,206,231
1502453604,141,300
1502453770,81,0
1502454520,238,236
1502455471,115,272
1502456558,205,70
1502457415,13,1
1502457622,255,206
1502458593,200,187
1502459322,3,4
1502459532,218,167
1502460517,99,3
1502461255,72,1
1502461454,235,215
1502462431,149,73
1502463160,5,1
1502463381,206,229
1502464349,194,218
1502464571,61,0
1502465058,12,2
1502465316,296,160
1502466274,109,538
1502466973,5,4
1502467316,263,89
1502468446,225,243
1502468910,10,5
1502469387,170,223
1502470355,271,167
1502470965,3,0
1502471310,76,142
1502471771,149,0
1502472264,253,120
1502472984,6,4
1502473228,76,133
1502474196,205,81
1502474996,10,2
1502475171,99,233
1502475371,30,0
1502476114,196,12
1502476811,5,4
1502477070,136,70
1502478060,212,169
1502478756,9,2
1502478983,111,120
1502479948,216,105
1502480654,8,3
1502480919,108,173
1502481886,176,149
1502482579,8,0
1502482843,242,152
1502483810,159,81
1502484505,4,3
1502484744,245,266
1502485721,76,68
1502486429,69,4
1502486662,127,156
1502487628,91,122
1502488599,211,283
1502489578,99,107
1502489770,36,0
1502490518,184,235
1502491465,139,199
1502492462,145,191
1502493389,103,124
1502494353,219,167
1502495065,54,53
1502495295,215,197
1502496288,146,62
1502497243,139,1554
1502498188,117,133
1502499169,187,189
1502500130,89,125
1502500570,46,0
1502501063,216,238
1502502040,152,209
1502502730,5,4
1502502993,169,205
1502503471,27,27
1502503963,177,131
1502504170,42,0
1502504903,189,240
1502505883,93,113
1502506882,228,258
1502507802,105,161
1502508757,210,85
1502509719,174,269
1502510681,182,73
1502511638,176,209
1502512608,159,141
1502513549,167,214
1502514505,130,108
1502514970,77,0
1502515719,274,227
1502516662,44,147
1502517694,273,125
1502518598,101,270
1502519556,284,113
1502520510,137,260
1502521489,167,185
1502522443,263,232
1502523405,146,83
1502524386,146,200
1502525296,102,210
1502525771,65,0
1502526250,170,175
1502527241,123,207
1502528184,199,242
1502529161,88,216
1502529371,66,0
1502530112,207,157
1502531065,116,284
1502532049,120,99
1502532985,87,200
1502534075,257,201
1502534931,6,1
1502535411,171,377
1502536367,82,216
1502536846,70,2
1502537334,183,260
1502538519,111,251
1502539001,5,3
1502539480,123,130
1502540768,261,288
1502541178,7,4
1502541859,111,88
1502542868,183,239
1502543080,5,5
1502543797,86,187
1502544745,244,258
1502544996,3,4
1502545722,99,243
1502546677,108,107
1502547166,3,3
1502547648,155,289
1502548599,132,202
1502549066,8,4
1502549569,108,277
1502550494,98,259
1502550976,6,4
1502551450,264,429
1502552440,138,107
1502552926,3,7
1502553412,200,356
1502554398,78,200
1502554851,61,2
1502555316,160,277
1502556276,97,340
1502556771,3,7
1502557294,91,96
1502558199,40,310
1502558666,85,4
1502559172,79,104
1502560106,92,232
1502560594,2,1
1502561073,156,123
1502562052,147,238
1502562511,3,2
1502562984,156,170
1502563955,150,234
1502564575,0,3
1502564924,126,139
1502565873,259,187
1502566571,6,5
1502566839,74,144
1502567806,166,218
1502568782,115,235
1502568971,45,0
1502569702,217,176
1502570666,123,258
1502571704,199,90
1502572613,69,147
1502573566,225,160
1502574527,111,232
1502575498,121,110
1502576717,216,213
1502577884,97,260
1502578902,195,134
1502579821,63,198
1502580773,217,246
1502581724,101,184
1502582686,125,17
1502583641,197,1721
1502584609,118,337
1502585550,109,3
1502586502,101,99
1502586971,26,0
1502587473,157,390
