DateTime,Entries,UniqueIPs
1502449415,32116,38769
1502450522,32117,38770
1502451121,32106,38760
1502451605,32132,38786
1502451722,32135,38789
1502453523,32032,38686
1502454122,32031,38685
1502454781,32029,38683
1502455444,32097,38751
1502455921,32100,38754
1502456554,32100,38754
1502457122,32099,38754
1502457721,32100,38755
1502458322,32100,38755
1502458922,32100,38755
1502459284,32064,38719
1502460214,32060,38715
1502460722,32062,38717
1502461322,32048,38703
1502462521,32052,38707
1502463123,32114,38769
1502463722,32116,38771
1502463755,32115,38771
1502464322,32116,38772
1502465044,32054,38710
1502465521,32056,38711
1502465581,32055,38710
1502466121,32054,38709
1502466721,32055,38711
1502466963,32164,38820
1502467415,32167,38823
1502468884,32076,38732
1502469722,32079,38736
1502470321,32065,38720
1502470921,32130,38785
1502471521,32130,38785
1502472122,32126,38781
1502472725,32149,38804
1502473321,32151,38806
1502473921,32152,38808
1502474614,32151,38807
1502475721,32154,38810
1502476563,32156,38810
1502476921,32160,38814
1502477523,32160,38815
1502478121,32162,38817
1502478154,32159,38814
1502479321,32158,38813
1502480522,32164,38819
1502481121,32165,38820
1502481754,32163,38818
1502482322,32147,38802
1502482922,32144,38799
1502484245,32069,38725
1502484721,32071,38727
1502485321,32070,38726
1502485414,32067,38723
1502486522,32064,38720
1502487122,32061,38717
1502487181,32062,38718
1502487722,32066,38722
1502488963,32066,38722
1502489521,32065,38721
1502490003,32041,38696
1502490121,32042,38697
1502490722,32042,38697
1502491322,32045,38700
1502491922,32092,38747
1502492522,32091,38746
1502492622,32088,38743
1502493844,31991,38646
1502494922,31981,38635
1502495522,31980,38634
1502495763,32078,38732
1502496122,32077,38731
1502496721,32074,38728
1502497685,32074,38728
1502497921,32075,38728
1502498522,32077,38730
1502499121,32078,38731
1502499612,32010,38663
1502499766,32008,38661
1502500322,32008,38661
1502500922,32010,38663
1502501527,32070,38724
1502502123,32075,38729
1502503444,31992,38645
1502503922,31994,38647
1502504523,31994,38647
1502505362,32086,38739
1502505722,32083,38736
1502506322,32084,38737
1502506955,32076,38729
1502508122,32075,38728
1502508721,32074,38727
1502509921,32076,38729
1502510558,32077,38730
1502511124,31953,38603
1502511721,31959,38609
1502513044,32036,38686
1502513521,32039,38689
1502514122,32042,38692
1502514155,32041,38691
1502515205,31973,38623
1502515321,31972,38623
1502515981,31973,38624
1502516521,31972,38623
1502517122,32036,38687
1502517755,32035,38686
1502519043,31969,38620
1502519521,31969,38620
1502520121,31963,38614
1502520963,32025,38676
1502521355,32023,38674
1502521922,32024,38675
1502522522,32025,38676
1502523722,32025,38676
1502524321,32026,38677
1502524815,32043,38694
1502524955,32041,38692
1502525522,32040,38691
1502526723,32004,38655
1502527321,32005,38656
1502529721,32005,38656
1502530921,32006,38657
1502532122,32007,38658
1502532215,32006,38657
1502533322,32008,38659
1502533922,32010,38661
1502534885,32030,38681
1502535121,32035,38687
1502535755,32034,38686
1502537521,32037,38689
1502538121,32035,38687
1502538963,32121,38773
1502539415,32125,38777
1502541126,32152,38804
1502541722,32150,38802
1502543044,32168,38820
1502543522,32168,38820
1502544122,32166,38818
1502544963,32115,38767
1502545322,32116,38768
1502545922,32113,38765
1502546615,32112,38764
1502547122,32119,38771
1502547721,32122,38774
1502549044,32132,38784
1502549522,32133,38785
1502550121,32134,38786
1502550155,32133,38785
1502550722,32135,38787
1502551322,32136,38788
1502551922,32138,38790
1502552885,32159,38811
1502553121,32163,38815
1502553755,32168,38820
1502554321,32169,38821
1502554802,32107,38759
1502554922,32100,38752
1502555581,32073,38725
1502556122,32073,38725
1502556723,32146,38798
1502557355,32146,38797
1502557922,32148,38799
1502558644,32178,38829
1502559121,32177,38828
1502559721,32179,38830
1502560564,32129,38780
1502561015,32129,38780
1502562483,32069,38720
1502563322,32070,38721
1502563921,32068,38718
1502564522,32168,38818
