DateTime,Entries,UniqueIPs
1501728773,2362,2362
1501730654,2377,2377
1501732596,2386,2386
1501734511,2406,2406
1501736563,2453,2453
1501740772,2477,2477
1501742663,2479,2479
1501744591,2501,2501
1501746527,2547,2547
1501748429,2559,2559
1501750347,2560,2560
1501752265,2560,2560
1501754200,2561,2561
1501756124,1516,1516
1501758092,1526,1526
1501759953,2033,2033
1501761884,2040,2040
1501765693,2069,2069
1501767637,2119,2119
1501769546,2153,2153
1501771456,2177,2177
1501773404,2178,2178
1501775312,2186,2186
1501777241,2208,2208
1501779165,2207,2207
1501781061,2200,2200
1501783273,2211,2211
1501785359,2257,2257
1501789247,2259,2259
1501791420,2276,2276
1501793313,2305,2305
1501795226,2335,2335
1501797172,2370,2370
1501799070,2429,2429
1501801007,2442,2442
1501802936,2925,2925
1501804945,2949,2949
1501806771,2954,2954
1501808673,3025,3025
1501810599,3041,3041
1501814426,3075,3075
1501816349,3113,3113
1501818271,3130,3130
1501820222,3170,3170
1501822134,3179,3179
1501824038,3185,3185
1501825972,3224,3224
1501827866,3255,3255
1501829807,3277,3277
1501831726,3274,3274
1501833742,3280,3280
1501835570,3287,3287
1501837480,3288,3288
1501839402,3303,3303
1501843227,1998,1998
1501845418,2797,2797
1501847330,2813,2813
1501849266,2829,2829
1501851172,2843,2843
1501853071,2830,2830
1501854987,2815,2815
1501856931,2798,2798
1501858954,2832,2832
1501860989,2840,2840
1501862914,2846,2846
1501864834,2843,2843
1501867018,2857,2857
1501868906,2863,2863
1501870826,2857,2857
1501872746,2857,2857
1501874663,2846,2846
1501876599,2837,2837
1501878520,2832,2832
1501880499,2833,2833
1501882366,2820,2820
1501884536,2840,2840
1501886430,2865,2865
1501888374,3538,3538
1501890260,3530,3530
1501892218,3551,3551
1501894123,3549,3549
1501896050,3543,3543
1501897943,3525,3525
1501899867,3527,3527
1501901799,3540,3540
1501903725,3523,3523
1501905666,3519,3519
1501907569,3491,3491
1501911402,3478,3478
1501915228,3456,3456
1501917150,3448,3448
1501919053,3384,3384
1501920992,3382,3382
1501922912,3381,3381
1501924829,3369,3369
1501926743,3361,3361
1501928683,1554,1554
1501930608,1536,1536
1501932527,2429,2429
1501934492,2419,2419
1501936352,2411,2411
1501938270,2417,2417
1501940186,2392,2392
1501942123,2370,2370
1501944026,2363,2363
1501945948,2350,2350
1501947862,2315,2315
1501949786,2289,2289
1501951699,2290,2290
1501953629,2287,2287
1501955545,2264,2264
1501957454,2228,2228
1501959371,2204,2204
1501961301,2211,2211
1501963492,2188,2188
1501965405,2186,2186
1501967324,2170,2170
1501969227,2148,2148
1501971561,2118,2118
1501973530,2073,2073
1501975460,2917,2917
1501977369,2900,2900
1501979290,2883,2883
1501981263,2885,2885
1501983401,2843,2843
1501985326,2812,2812
1501987225,2799,2799
1501989165,2756,2756
1501991060,2735,2735
1501993007,2703,2703
1501994907,2679,2679
1501996828,2658,2658
1501998756,2619,2619
1502000667,2571,2571
1502002595,2544,2544
1502004519,2537,2537
1502006521,2515,2515
1502008361,2493,2493
1502010269,2467,2467
1502014124,1038,1038
1502016020,1027,1027
1502017945,1536,1536
1502019848,1551,1551
1502022056,1555,1555
1502023946,1562,1562
1502025861,1560,1560
1502027796,1554,1554
1502029713,1547,1547
1502031718,1535,1535
1502033536,1533,1533
1502035471,1534,1534
1502037374,1531,1531
1502039289,1531,1531
1502041245,1524,1524
1502043405,1523,1523
1502045306,1514,1514
1502047229,1512,1512
1502049154,1506,1506
1502051079,1508,1508
1502052986,1499,1499
1502054906,1496,1496
1502056895,1511,1511
1502058747,1513,1513
1502060677,1505,1505
1502062584,1964,1964
1502064523,1962,1962
1502066429,1963,1963
1502068358,1943,1943
1502070250,1938,1938
1502072449,1926,1926
1502074362,1907,1907
1502076264,1919,1919
1502078192,1920,1920
1502080119,1922,1922
1502082078,1931,1931
1502085869,1944,1944
1502087774,1955,1955
1502089703,1966,1966
1502091617,1952,1952
1502093547,1971,1971
1502095453,1979,1979
1502097408,1992,1992
1502099326,2002,2002
1502101245,1114,1114
1502103177,1120,1120
1502105066,1479,1479
1502106988,1496,1496
1502108907,1502,1502
1502110914,1526,1526
1502112766,1548,1548
1502114675,1553,1553
1502116585,1574,1574
1502118503,1585,1585
1502120441,1596,1596
1502122365,1609,1609
1502124284,1623,1623
1502126216,1625,1625
1502128127,1625,1625
1502130274,1639,1639
1502132198,1654,1654
1502134124,1654,1654
1502136182,1641,1641
1502138189,1640,1640
1502140122,1644,1644
1502142021,1637,1637
1502144366,1630,1630
1502146330,1638,1638
1502148261,1951,1951
1502150196,1961,1961
1502152105,1960,1960
1502154082,1961,1961
1502155949,1966,1966
1502157873,1968,1968
1502161724,1987,1987
1502163628,1982,1982
1502165563,1987,1987
1502167464,1989,1989
1502169394,1994,1994
1502171303,1997,1997
1502173227,2003,2003
1502175141,2001,2001
1502177065,2006,2006
1502178993,2004,2004
1502180904,2009,2009
1502182895,2020,2020
1502184733,2024,2024
1502186549,1034,1034
1502188376,1035,1035
1502192194,1605,1605
1502196035,1612,1612
1502197963,1631,1631
1502199870,1636,1636
1502202049,1645,1645
1502203969,1644,1644
1502205850,1651,1651
1502207792,1657,1657
1502209722,1669,1669
1502211713,1667,1667
1502213552,1666,1666
1502215480,1650,1650
1502219814,1644,1644
1502221717,1651,1651
1502223678,1636,1636
1502225555,1626,1626
1502227478,1620,1620
1502229392,1611,1611
1502231327,1591,1591
1502233290,1612,1612
1502235159,2097,2097
1502237327,2079,2079
1502241420,2184,2184
1502243312,2205,2205
1502245248,2211,2211
1502247164,2220,2220
1502249314,2211,2211
1502251321,2212,2212
1502253161,2217,2217
1502255077,2225,2225
1502256998,2207,2207
1502258988,2203,2203
1502260827,2198,2198
1502262769,2189,2189
1502264664,2195,2195
1502266618,2184,2184
1502268521,2180,2180
1502270432,2169,2169
1502272361,2163,2163
1502274268,1295,1295
1502276193,1298,1298
1502278107,1693,1693
1502280109,1700,1700
1502281960,1719,1719
1502284119,1732,1732
1502286029,1736,1736
1502287967,1777,1777
1502289878,1793,1793
1502291788,1786,1786
1502293718,1798,1798
1502295630,1810,1810
1502297564,1812,1812
1502299452,1819,1819
1502301384,1821,1821
1502303311,1828,1828
1502305264,1839,1839
1502307158,1843,1843
1502309078,1869,1869
1502312929,1906,1906
1502314832,1918,1918
1502317237,1914,1914
1502319161,1933,1933
1502321308,2291,2291
1502323304,2286,2286
1502325160,2350,2350
1502327093,2380,2380
1502330921,2369,2369
1502332843,2382,2382
1502334765,2373,2373
1502336663,2366,2366
1502338592,2378,2378
1502340519,2414,2414
1502342443,2438,2438
1502344346,2456,2456
1502346275,2459,2459
1502348196,2466,2466
1502350119,2472,2472
1502352073,2471,2471
1502353965,2487,2487
1502357796,2483,2483
1502359726,2509,2509
1502361625,1415,1415
1502363813,2047,2047
1502365966,2066,2066
1502367911,2075,2075
1502369796,2063,2063
1502371708,2013,2013
1502373713,1999,1999
1502377478,1974,1974
1502381326,1976,1976
1502383242,1959,1959
1502385172,1942,1942
1502387073,1965,1965
1502389018,1963,1963
1502391772,1979,1979
1502393797,2026,2026
1502395703,2033,2033
1502397626,2023,2023
1502399558,2038,2038
1502401460,2045,2045
1502403382,2037,2037
1502405314,2020,2020
1502407226,2579,2579
1502409154,2595,2595
1502411060,2611,2611
1502412993,2572,2572
1502414915,2515,2515
1502416870,2510,2510
1502418758,2509,2509
1502422825,2522,2522
1502424748,2518,2518
1502426665,2493,2493
1502428604,2495,2495
1502430503,2493,2493
1502432443,2492,2492
1502434368,2499,2499
1502436280,2503,2503
1502438203,2519,2519
1502440119,2527,2527
1502442156,2521,2521
1502443961,2527,2527
1502445885,2522,2522
1502447808,1265,1265
1502451629,1928,1928
1502453589,1916,1916
1502455467,1869,1869
1502457416,1878,1878
1502459323,1897,1897
1502461256,1899,1899
1502463161,1909,1909
1502465059,1923,1923
1502466974,1933,1933
1502468911,1941,1941
1502470966,1913,1913
1502472985,1898,1898
1502474997,1887,1887
1502478757,1895,1895
1502480655,1911,1911
1502482580,1915,1915
1502484506,1894,1894
1502486430,1896,1896
1502488595,1870,1870
1502490515,1845,1845
1502492458,1826,1826
1502494345,2434,2434
1502496273,2462,2462
1502498184,2428,2428
1502502036,2452,2452
1502503959,2477,2477
1502505869,2480,2480
1502507794,2481,2481
1502509716,2497,2497
1502511634,2497,2497
1502513544,2486,2486
1502515715,2464,2464
1502517680,2466,2466
1502519552,2464,2464
1502521473,2459,2459
1502523395,2485,2485
1502525292,2485,2485
1502529157,2470,2470
1502531062,2446,2446
1502532971,1256,1256
1502534932,1253,1253
1502536847,1773,1773
1502539002,1764,1764
1502541179,1760,1760
1502543081,1759,1759
1502544997,1755,1755
1502547166,1753,1753
1502549067,1754,1754
1502550977,1749,1749
1502552927,1740,1740
1502554852,1737,1737
1502556772,1731,1731
1502558667,1749,1749
1502560596,1785,1785
1502562512,1783,1783
1502564576,1798,1798
1502566572,1823,1823
1502568765,1800,1800
1502570663,1801,1801
1502572609,1796,1796
1502574523,1783,1783
1502576692,1764,1764
1502578866,1753,1753
1502580768,2250,2250
1502582683,2226,2226
1502584606,2218,2218
1502586498,2242,2242
1502588425,2221,2221
1502590358,2218,2218
1502592281,2214,2214
1502594190,2199,2199
1502596112,2181,2181
1502598033,2170,2170
1502599947,2166,2166
1502601855,2155,2155
1502603773,2145,2145
1502605726,2137,2137
1502607658,2120,2120
1502609561,2105,2105
1502611510,2086,2086
1502613386,2067,2067
1502615322,2050,2050
1502617242,2051,2051
1502619167,907,907
1502621580,916,916
1502623731,1503,1503
1502625676,1481,1481
1502627561,1454,1454
1502629471,1442,1442
1502631410,1448,1448
1502633301,1424,1424
1502635239,1420,1420
1502637160,1451,1451
1502639309,1492,1492
1502641234,1528,1528
1502643164,1530,1530
1502645063,1554,1554
1502646999,1582,1582
1502648904,1587,1587
1502650882,1593,1593
1502652738,1570,1570
1502654919,1547,1547
1502657091,1526,1526
1502658988,1521,1521
1502660893,1512,1512
1502662979,1508,1508
1502664969,1502,1502
1502666905,2028,2028
1502668898,1992,1992
1502670748,1956,1956
1502672691,1938,1938
1502674584,1939,1939
1502676511,1936,1936
1502678684,1914,1914
1502680583,1912,1912
1502682519,1909,1909
1502684455,1934,1934
1502686362,1928,1928
1502688258,1911,1911
1502690203,1907,1907
1502692122,1901,1901
1502694108,1890,1890
1502695957,1885,1885
1502697874,1865,1865
1502699801,1838,1838
1502701715,1844,1844
1502705811,1052,1052
1502707723,1047,1047
1502709650,1331,1331
1502711554,1329,1329
1502713465,1331,1331
1502715393,1331,1331
1502717305,1360,1360
1502719331,1415,1415
1502721157,1424,1424
1502723327,1500,1500
1502725229,1538,1538
1502727171,1548,1548
1502729064,1548,1548
1502730994,1544,1544
1502733424,1555,1555
1502735330,1554,1554
1502737344,1550,1550
1502739169,1554,1554
1502741585,1562,1562
1502743463,1560,1560
1502745656,1567,1567
1502747547,1564,1564
1502749484,1563,1563
