DateTime,Entries,UniqueIPs
1502298006,38461,38461
1502298905,38442,38442
1502299805,38439,38439
1502300705,38422,38422
1502301606,38414,38414
1502302506,38374,38374
1502303407,38373,38373
1502304306,38338,38338
1502305206,38298,38298
1502306106,38269,38269
1502307006,38237,38237
1502307905,38168,38168
1502308804,38070,38070
1502309705,37972,37972
1502310604,37860,37860
1502311505,37733,37733
1502312404,37640,37640
1502313304,37540,37540
1502314204,37497,37497
1502315104,37473,37473
1502316004,37415,37415
1502316904,37311,37311
1502317803,37208,37208
1502318703,37111,37111
1502319604,37004,37004
1502320504,36926,36926
1502321404,36838,36838
1502322304,36801,36801
1502323203,36721,36721
1502324103,36679,36679
1502325003,36632,36632
1502325903,36590,36590
1502326803,36606,36606
1502327703,36606,36606
1502328603,36586,36586
1502329503,36589,36589
1502330404,36581,36581
1502331304,36571,36571
1502332203,36571,36571
1502333104,36543,36543
1502334004,36536,36536
1502334904,36615,36615
1502335803,36618,36618
1502336703,36753,36753
1502337604,36920,36920
1502338504,37088,37088
1502339403,37394,37394
1502340303,37487,37487
1502341204,37360,37360
1502342104,37278,37278
1502343003,37136,37136
1502343904,37014,37014
1502344804,36923,36923
1502345704,36754,36754
1502346603,36530,36530
1502347504,36349,36349
1502348404,36124,36124
1502349303,35908,35908
1502350203,35731,35731
1502351104,35503,35503
1502352003,34501,34501
1502352904,33258,33258
1502353803,32177,32177
1502354703,31174,31174
1502355603,30218,30218
1502356503,29475,29475
1502357403,28545,28545
1502358302,27377,27377
1502359203,25751,25751
1502360103,23929,23929
1502361003,22536,22536
1502361903,20940,20940
1502362803,20174,20174
1502363702,20015,20015
1502364602,19895,19895
1502365503,19594,19594
1502366403,19382,19382
1502367302,19142,19142
1502368202,18834,18834
1502369103,18553,18553
1502370002,18140,18140
1502370903,17803,17803
1502371803,17360,17360
1502372703,16816,16816
1502373602,16367,16367
1502374502,15878,15878
1502375403,15524,15524
1502376302,15132,15132
1502377202,14885,14885
1502378102,14626,14626
1502379003,14181,14181
1502379903,13690,13690
1502380802,13047,13047
1502381703,12197,12197
1502382602,11620,11620
1502383501,10787,10787
1502384402,10550,10550
1502385302,10618,10618
1502386201,10718,10718
1502387102,10653,10653
1502388002,10693,10693
1502388902,10791,10791
1502389802,10783,10783
1502391602,10788,10788
1502392502,10799,10799
1502393402,10782,10782
1502394302,10775,10775
1502395202,10674,10674
1502396102,10594,10594
1502397002,10506,10506
1502397902,10407,10407
1502398802,10319,10319
1502399703,10311,10311
1502400602,10205,10205
1502401502,10193,10193
1502402402,10770,10770
1502403302,11445,11445
1502404202,11676,11676
1502405101,11803,11803
1502406002,11832,11832
1502406902,11969,11969
1502407802,12158,12158
1502408702,12171,12171
1502409603,12206,12206
1502410502,12204,12204
1502411402,12232,12232
1502412302,12206,12206
1502413202,12236,12236
1502414102,12255,12255
1502415002,12268,12268
1502415902,12261,12261
1502416802,12254,12254
1502417702,12314,12314
1502418602,12342,12342
1502419502,12296,12296
1502420403,12356,12356
1502421302,12245,12245
1502422202,12260,12260
1502423102,12228,12228
1502424003,12271,12271
1502424902,12148,12148
1502425802,12037,12037
1502426702,11856,11856
1502427602,11833,11833
1502428502,11762,11762
1502429403,11579,11579
1502430302,11455,11455
1502431202,11448,11448
1502432102,11430,11430
1502433002,11403,11403
1502433902,11401,11401
1502434802,11361,11361
1502435703,11337,11337
1502436602,11297,11297
1502437503,11278,11278
1502438402,11284,11284
1502439302,11263,11263
1502440202,11316,11316
1502441102,11376,11376
1502442003,11400,11400
1502442902,11430,11430
1502443803,11480,11480
1502444703,11504,11504
1502445603,11539,11539
1502446502,11194,11194
1502447402,11945,11945
1502448303,14288,14288
1502449203,17405,17405
1502450103,21445,21445
1502451003,24495,24495
1502451903,24794,24794
1502452803,26614,26614
1502453703,29406,29406
1502454603,30744,30744
1502455503,32687,32687
1502456403,33009,33009
1502457304,33357,33357
1502458203,34061,34061
1502459103,34880,34880
1502460004,35713,35713
1502460904,36401,36401
1502461803,37064,37064
1502462704,37408,37408
1502463604,37449,37449
1502464504,37531,37531
1502465404,37464,37464
1502466304,37374,37374
1502467204,37290,37290
1502468104,37220,37220
1502469004,37120,37120
1502469904,37037,37037
1502470804,36961,36961
1502471704,36909,36909
1502472605,36829,36829
1502473503,36764,36764
1502474404,36788,36788
1502475304,36735,36735
1502476204,36699,36699
1502477104,36620,36620
1502478004,36524,36524
1502478904,36434,36434
1502479805,36392,36392
1502480705,36383,36383
1502481604,36347,36347
1502482503,36354,36354
1502483405,36388,36388
1502484305,36384,36384
1502485205,36394,36394
1502486104,36414,36414
1502487004,36398,36398
1502487904,36398,36398
1502488804,36317,36317
1502489704,36271,36271
1502490604,36235,36235
1502491504,36221,36221
1502492404,36220,36220
1502493303,36212,36212
1502494203,36084,36084
1502495104,36054,36054
1502496004,36039,36039
1502496904,36002,36002
1502497804,35972,35972
1502498704,35938,35938
1502499605,35895,35895
1502500503,35850,35850
1502501403,33769,33769
1502502304,31798,31798
1502503203,30458,30458
1502504104,29248,29248
1502505002,28159,28159
1502505903,27190,27190
1502506803,26145,26145
1502507703,24536,24536
1502508602,22838,22838
1502509503,21612,21612
1502510403,20971,20971
1502511302,20376,20376
1502512203,20062,20062
1502513103,19881,19881
1502514002,19642,19642
1502514902,19483,19483
1502515803,19402,19402
1502516703,19590,19590
1502517602,19770,19770
1502518502,20013,20013
1502519402,20161,20161
1502520302,19892,19892
1502521203,19718,19718
1502522103,19500,19500
1502523003,19370,19370
1502523903,19349,19349
1502524802,19268,19268
1502525702,19210,19210
1502526602,19140,19140
1502527503,19060,19060
1502528402,19022,19022
1502529302,19010,19010
1502530202,19143,19143
1502531102,19282,19282
1502532003,19263,19263
1502532902,19290,19290
1502533803,19110,19110
1502534702,19006,19006
1502535602,18950,18950
1502536503,18909,18909
1502537403,18876,18876
1502538303,18848,18848
1502539203,18840,18840
1502540102,18753,18753
1502541003,18634,18634
1502541902,18542,18542
1502542803,18505,18505
1502543703,18543,18543
1502544603,18929,18929
1502545502,19804,19804
1502546402,20787,20787
1502547303,21305,21305
1502548203,21869,21869
1502549102,22404,22404
1502550003,22723,22723
1502550903,23102,23102
1502551803,23239,23239
1502552703,23278,23278
1502553602,23090,23090
1502554502,22665,22665
1502555403,22290,22290
1502556302,22146,22146
