DateTime,AddedIPs,RemovedIPs
1502410921,7,4
1502411522,2,4
1502412122,2,0
1502412723,10,10
1502413322,2,0
1502414522,3,25
1502415121,2,0
1502415721,1,14
1502416923,5,6
1502417522,10,7
1502418122,3,3
1502418722,3,2
1502419322,7,10
1502419921,3,7
1502420522,4,12
1502421122,6,2
1502421721,3,0
1502422321,2,5
1502422921,4,0
1502424122,6,17
1502424722,6,0
1502425322,5,0
1502425922,4,28
1502426521,3,0
1502427122,7,4
1502427721,1,18
1502428321,1,0
1502428923,0,10
1502430121,6,41
1502430721,4,0
1502431321,1,0
1502431922,1,4
1502432522,3,0
1502433121,2,11
1502433721,1,2
1502434322,7,8
1502434922,2,0
1502435522,1,8
1502436122,3,8
1502436722,10,0
1502437322,9,0
1502437922,9,0
1502438522,1,2
1502439721,2,0
1502440322,1,4
1502440921,21,1
1502441522,2,18
1502443321,3,13
1502444522,5,0
1502445721,3,4
1502446322,4,5
1502446922,6,6
1502447521,6,9
1502448122,9,2
1502448722,6,0
1502449322,6,7
1502450522,1,16
1502451121,11,0
1502451722,6,2
1502453522,5,14
1502454122,4,0
1502455321,7,10
1502455921,10,0
1502456522,7,0
1502457122,13,11
1502457721,3,0
1502458322,5,4
1502458922,3,2
1502460121,1,6
1502460722,22,1
1502461322,9,0
1502462521,14,14
1502463121,4,0
1502463722,13,0
1502464322,6,1
1502464922,9,9
1502465521,11,0
1502466121,1,2
1502466721,6,5
1502467321,13,4
1502467922,12,0
1502468522,9,8
1502469722,13,3
1502470321,15,0
1502470921,5,0
1502471521,6,19
1502472122,6,9
1502472721,11,10
1502473321,7,2
1502473921,4,0
1502474522,5,7
1502475721,1,4
1502476321,6,9
1502476921,6,0
1502477523,3,3
1502478121,16,15
1502478721,3,0
1502479321,2,8
1502480522,2,6
1502481121,11,2
1502481721,4,9
1502482321,2,2
1502482922,1,0
1502483521,0,13
1502484121,4,0
1502484721,4,5
1502485921,6,13
1502486522,10,3
1502487122,3,11
1502487722,9,12
1502488321,3,0
1502488922,5,0
1502489521,5,7
1502490121,7,0
1502490722,2,0
1502491322,15,30
1502492522,7,5
1502493722,7,1
1502494922,3,9
1502495522,5,0
1502496122,5,10
1502496721,2,3
1502497322,3,22
1502498522,9,4
1502499121,3,14
1502499722,4,6
1502500322,4,0
1502500922,5,0
1502501521,7,4
1502502123,11,0
1502503321,12,1
1502503922,5,14
1502504523,2,4
1502505722,4,34
1502506322,10,0
1502506921,13,1
1502508122,5,2
1502508721,3,3
1502509322,3,12
1502509921,11,0
1502510521,4,0
1502511122,7,7
1502511721,17,0
1502512922,2,7
1502514122,9,5
1502514722,4,10
1502515321,18,2
1502515921,7,0
1502516521,4,0
1502517122,5,8
1502517721,12,4
1502518922,4,6
1502519521,1,0
1502520121,3,2
1502521322,4,9
1502521922,3,2
1502522522,7,1
1502523722,1,8
1502524321,3,8
1502524922,1,6
1502525522,5,0
1502526122,4,2
1502526722,7,0
1502527321,9,32
1502528522,2,6
1502529721,4,0
1502530321,3,4
1502530921,3,2
1502531522,5,0
1502532722,6,8
1502533322,3,0
1502533922,7,4
1502534521,4,7
1502535121,11,2
1502535722,9,0
1502536321,1,4
1502536922,3,0
1502537521,2,11
1502538121,1,6
1502538721,8,0
1502539322,7,0
1502541122,5,10
1502541722,12,0
1502542922,5,17
1502543522,6,1
1502544122,4,10
1502545322,6,0
1502545922,3,1
1502546522,10,0
1502547122,6,19
1502547721,10,1
1502548921,5,11
1502549522,3,0
1502550121,5,18
1502550722,7,0
1502551322,17,0
1502551922,6,10
1502552521,11,12
1502553121,18,6
1502553722,3,0
1502554321,5,12
1502554922,10,9
1502556122,14,15
1502556721,2,14
1502557322,8,0
1502557922,8,7
1502558521,5,5
1502559121,5,0
1502559721,9,4
1502560922,13,12
1502561522,2,5
1502562122,7,5
1502563322,5,10
1502563921,12,0
1502564522,9,5
1502565122,4,12
1502565721,11,3
1502566322,10,0
1502566922,5,3
1502568122,7,10
