DateTime,AddedIPs,RemovedIPs
1502424722,80,80
1502425322,78,78
1502425922,80,80
1502426521,80,80
1502427122,80,80
1502427721,80,80
1502428321,80,80
1502428923,80,80
1502430121,77,77
1502430721,80,80
1502431321,80,80
1502431922,63,63
1502432522,78,78
1502433121,80,80
1502433721,48,48
1502434322,64,64
1502434922,80,80
1502435522,79,79
1502436122,80,80
1502436722,71,71
1502437322,74,74
1502437922,79,79
1502438522,79,79
1502439721,70,70
1502440322,73,73
1502440921,80,80
1502441522,79,79
1502442122,79,79
1502443321,80,80
1502444522,79,79
1502445721,80,80
1502446322,79,79
1502446922,80,80
1502447521,80,80
1502448122,80,80
1502448722,80,80
1502449322,80,80
1502450522,80,80
1502451121,80,80
1502451722,78,78
1502453522,60,60
1502454122,80,80
1502455321,77,77
1502455921,79,79
1502456522,80,80
1502457122,80,80
1502457721,80,80
1502458322,80,80
1502458922,76,76
1502460121,80,80
1502460722,80,80
1502461322,79,79
1502462521,80,80
1502463121,80,80
1502463722,79,79
1502464322,78,78
1502464922,80,80
1502465521,80,80
1502466121,80,80
1502466721,80,80
1502467321,79,79
1502467922,80,80
1502468522,80,80
1502469722,79,79
1502470321,80,80
1502470921,80,80
1502471521,80,80
1502472122,80,80
1502472721,80,80
1502473321,80,80
1502473921,80,80
1502474522,80,80
1502475721,80,80
1502476321,79,79
1502476921,80,80
1502477523,76,76
1502478121,77,77
1502478721,80,80
1502479321,80,80
1502480522,80,80
1502481121,80,80
1502481721,80,80
1502482321,78,78
1502482922,79,79
1502483521,80,80
1502484121,77,77
1502484721,80,80
1502485921,75,75
1502486522,80,80
1502487122,78,78
1502487722,79,79
1502488321,80,80
1502488922,78,78
1502489521,80,80
1502490121,78,78
1502490722,80,80
1502491322,80,80
1502492522,80,80
1502493722,72,72
1502494922,79,79
1502495522,80,80
1502496122,80,80
1502496721,80,80
1502497322,80,80
1502498522,80,80
1502499121,80,80
1502499722,80,80
1502500322,76,76
1502500922,80,80
1502501521,55,55
1502502123,80,80
1502503321,80,80
1502503922,80,80
1502504523,80,80
1502505722,80,80
1502506322,79,79
1502506921,78,78
1502508122,76,76
1502508721,80,80
1502509322,80,80
1502509921,79,79
1502510521,80,80
1502511122,80,80
1502511721,80,80
1502512922,80,80
1502514122,71,71
1502514722,80,80
1502515321,78,78
1502515921,80,80
1502516521,80,80
1502517122,78,78
1502517721,80,80
1502518922,75,75
1502519521,80,80
1502520121,63,63
