DateTime,AddedIPs,RemovedIPs
1502204521,1,1
1502206922,0,5
1502208121,6,0
1502208722,1,7
1502210522,1,0
1502212922,1,8
1502215921,1,0
1502216522,4,0
1502217721,1,0
1502218321,0,5
1502219521,0,1
1502220121,0,1
1502221321,3,0
1502222522,0,11
1502223721,2,1
1502224322,0,5
1502224921,0,1
1502225522,2,0
1502227321,2,2
1502227922,0,1
1502230922,3,0
1502231521,1,0
1502232122,1,7
1502232721,1,0
1502233322,0,1
1502234522,3,2
1502235122,1,0
1502235721,3,0
1502236921,0,1
1502238122,0,10
1502239321,0,1
1502240521,3,0
1502241121,1,0
1502242321,1,1
1502244122,6,6
1502244722,2,1
1502245321,1,1
1502247722,1,3
1502248922,2,0
1502251322,2,3
1502251922,2,0
1502252522,0,1
1502253721,1,0
1502255521,0,2
1502257322,5,0
1502257921,2,0
1502258522,0,8
1502260922,1,1
1502261521,1,1
1502262121,6,0
1502262721,2,3
1502263322,1,0
1502263922,1,0
1502265122,1,0
1502265722,0,1
1502266322,0,2
1502266922,4,0
1502268121,1,0
1502269322,0,3
1502270522,5,0
1502272921,2,4
1502274122,2,1
1502277121,2,0
1502278921,0,1
1502280122,1,2
1502281322,2,3
1502283722,2,0
1502284322,3,0
1502284921,2,2
1502286122,2,0
1502286722,0,3
1502287922,0,1
1502289121,1,0
1502289721,0,4
1502292122,3,0
1502294522,4,0
1502296922,1,1
1502299922,0,3
1502301721,2,2
1502304122,0,1
1502305921,2,1
1502306522,0,2
1502308921,0,2
1502310122,10,1
1502310721,2,1
1502311322,0,2
1502312521,0,1
1502313721,1,5
1502314321,1,0
1502314922,5,4
1502316122,9,3
1502316722,2,0
1502317321,1,0
1502318522,3,0
1502319121,3,1
1502320922,1,2
1502322122,2,1
1502322721,0,1
1502323321,1,0
1502323923,1,3
1502324521,5,4
1502325122,1,0
1502326322,0,4
1502326922,1,2
1502327522,4,0
1502328123,1,0
1502328721,1,0
1502329322,1,0
1502329921,2,0
1502330521,0,2
1502331121,1,0
1502331722,1,0
1502332321,7,0
1502333521,1,0
1502334121,0,2
1502334721,0,1
1502336521,3,0
1502337722,4,0
1502338921,1,0
1502340121,2,0
1502340722,0,1
1502341322,1,0
1502344321,1,0
1502346121,0,6
1502348521,1,2
1502349121,1,0
1502349721,0,1
1502350922,4,1
1502353321,0,1
1502354521,0,3
1502355721,1,1
1502356922,13,1
1502358121,0,3
1502359322,0,1
1502361722,0,1
1502362921,8,4
1502365922,0,1
1502366521,1,0
1502367722,1,0
1502368922,0,2
1502373721,4,0
1502374321,1,0
1502374922,0,1
1502375521,1,0
1502376124,11,0
1502377321,32,5
1502377922,1,0
1502380322,0,1
1502383321,1,0
1502383921,0,1
1502384521,0,5
1502385121,0,8
1502386921,0,1
1502388721,2,2
1502389922,0,7
1502390521,1,4
1502392321,1,1
1502392922,0,2
1502395322,0,1
1502396522,2,0
1502397721,0,3
1502398922,0,2
1502400122,0,4
1502402521,0,7
1502404921,1,6
1502405521,1,0
1502406721,0,1
1502408521,4,0
1502409721,3,5
1502410921,3,1
1502411522,0,6
1502412723,0,4
1502413322,1,6
1502414522,0,3
1502415721,0,1
1502416922,8,2
1502417522,0,1
1502418122,1,0
1502418722,2,1
1502419322,0,2
1502420522,0,1
1502421122,0,4
1502421721,0,3
1502422921,5,0
1502424122,1,1
1502424722,1,1
1502425322,1,0
1502425921,0,2
1502426521,0,1
1502427122,1,0
1502427721,9,2
1502428321,1,0
1502428922,0,3
1502430121,0,3
1502430721,1,0
1502431922,1,3
1502433121,0,4
1502433721,0,1
1502434322,1,0
1502435522,6,0
1502436122,0,1
1502437322,0,3
1502438522,1,0
1502439721,0,1
1502440921,0,2
1502442722,1,1
1502443321,2,6
1502444522,1,0
1502445721,4,2
1502446322,0,4
1502446922,1,2
1502447521,0,1
1502448122,0,2
1502448722,0,2
1502450522,2,1
1502453522,0,6
1502455321,0,2
1502456522,0,1
1502457122,2,0
1502457721,2,0
1502458922,2,2
1502460121,0,5
1502460722,1,0
1502462521,3,0
1502463121,1,3
1502464922,5,3
1502465521,0,2
1502466121,0,1
1502467321,0,2
1502468522,0,2
1502469722,4,2
1502470321,3,1
1502470921,1,0
1502472122,1,2
1502473321,6,2
1502474522,0,1
1502475721,1,4
1502476321,1,0
1502477523,5,0
1502478121,1,0
1502478721,1,1
1502480522,2,3
1502481721,1,3
1502482922,1,0
1502484121,0,3
1502485321,3,2
1502487122,1,1
1502487722,0,6
1502488321,0,2
1502489521,0,2
1502490121,0,1
1502491322,1,0
1502491921,0,6
1502493722,7,1
1502494922,5,1
1502496122,2,8
1502497322,0,4
1502497921,4,0
1502498522,1,6
1502499121,1,0
1502499722,0,7
1502500322,4,0
1502500922,3,0
1502501521,5,0
1502503321,0,2
1502504523,5,0
1502505722,1,3
1502506921,1,5
1502510521,1,4
1502511122,0,2
1502511721,1,0
1502512321,0,2
1502512922,4,5
1502514122,1,1
1502514722,0,1
1502518922,0,13
1502520121,1,2
1502521322,0,1
1502521922,1,0
1502522522,1,0
1502523722,1,0
1502524321,5,0
1502525522,0,1
1502526121,0,2
1502527321,0,5
1502528522,1,0
1502530321,0,1
1502530921,1,0
1502532122,1,1
1502534521,0,1
1502535121,0,7
1502535722,1,2
1502538721,0,2
1502539321,3,0
1502541122,2,2
1502541721,2,2
1502544122,1,3
1502545922,0,1
1502547122,4,0
1502547721,1,0
1502548921,1,3
1502551322,1,1
1502552521,3,0
1502553121,0,6
1502553722,5,0
1502554922,1,2
1502556122,0,9
1502556721,1,2
1502557922,1,0
1502558521,2,0
1502559721,2,6
1502560922,2,0
1502562122,1,5
1502563322,1,0
1502564522,1,4
1502565122,2,2
1502565721,1,0
1502568122,0,5
1502568721,4,0
1502569322,1,0
1502569922,3,0
1502570522,1,0
1502571121,1,9
1502572922,0,2
1502573521,1,0
1502574122,2,1
1502575322,9,7
1502577121,1,4
1502577721,0,1
1502578921,0,2
1502579521,0,4
1502581921,0,1
1502583123,0,2
1502583721,2,2
1502584322,1,4
1502584921,1,2
1502586123,1,0
1502586723,1,3
1502587322,6,1
1502587921,2,3
1502588521,0,9
1502589721,5,1
1502590921,2,0
1502591523,7,2
1502593322,0,1
1502594522,0,1
1502595721,0,1
1502596921,1,5
1502598721,0,1
1502599322,0,1
1502599921,1,3
1502601721,1,4
1502602922,1,1
1502603522,2,5
1502604122,1,0
1502605321,1,2
1502606521,3,6
1502607722,0,1
1502610122,3,0
1502612521,0,4
1502613722,0,3
1502617322,3,5
1502618521,0,2
1502619121,0,1
1502619722,0,2
1502621521,0,1
1502623321,0,1
1502624521,1,0
1502625721,1,0
1502626922,3,0
1502628722,0,2
1502629322,1,0
1502629921,0,3
1502631121,1,1
1502632921,0,2
1502633522,2,0
1502634121,1,1
1502635322,1,0
1502636521,1,1
1502637122,1,0
1502639521,0,1
1502640121,3,1
1502640721,3,0
1502641321,0,3
1502641921,0,1
1502643121,1,0
1502644921,0,3
1502646721,0,3
1502647321,2,0
1502648522,0,1
1502649721,0,1
1502650321,3,0
1502651522,1,0
1502652121,2,0
1502653322,3,1
1502653921,1,0
1502655121,1,0
1502655721,0,1
1502656922,1,4
1502658121,2,0
1502658721,0,4
1502659321,1,1
1502659922,1,0
1502662322,3,0
1502662921,0,1
1502663522,0,1
1502664121,1,0
1502665322,0,1
1502665921,2,0
1502666521,1,2
1502667122,1,0
1502667722,2,0
1502668922,1,3
1502669522,0,6
1502670123,2,0
1502671321,3,2
1502671921,3,3
1502672523,0,2
1502673722,15,2
1502674922,7,5
1502676122,0,1
1502677321,0,2
1502677922,2,0
1502678522,0,3
1502679722,20,0
1502680321,0,2
1502680922,3,0
1502682122,2,2
1502683321,1,2
1502683922,2,3
1502684521,0,5
1502686322,0,3
1502686922,7,0
1502687521,2,0
1502688121,0,3
1502689322,1,6
1502689921,1,1
1502690521,0,5
1502691121,1,0
1502691722,1,2
1502692921,0,1
1502693522,9,0
1502694121,1,0
1502695322,0,8
1502696523,0,6
1502697121,1,1
1502698322,1,0
1502699521,0,2
1502701322,0,1
1502701922,9,0
1502702522,1,0
1502703121,1,2
1502703721,5,0
1502708521,6,0
1502709721,1,2
1502710321,2,0
1502710922,1,1
1502711522,1,0
1502712122,2,0
1502712721,1,0
1502713321,1,1
1502714521,8,0
1502715721,0,1
1502716321,1,1
1502718121,1,5
1502719322,3,0
1502721721,1,0
1502722921,1,0
1502723522,2,0
1502727722,3,0
1502728921,1,0
1502729521,1,2
1502730121,1,0
1502731322,3,0
1502732522,0,2
1502734922,3,4
1502736121,1,3
1502736721,1,0
1502737321,0,5
1502737921,1,2
1502738522,0,2
1502739721,6,0
1502741522,1,1
1502744522,1,4
1502745721,0,1
1502747522,5,3
1502748121,2,0
1502748721,2,0
1502750522,1,2
1502751721,0,2
1502752321,1,0
1502752921,1,1
1502753521,0,2
1502754121,1,0
1502755322,0,2
1502755922,1,0
1502756521,1,0
1502757122,1,0
1502757722,0,2
1502758321,0,1
